Community,Num,Id,Request,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,EN25,EN26,EN27,EN28,EN29,EN30,EN31,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21
Wikipedia,111,300945,I tried to fix your problem with <url>. Is that what you were looking for?,,,,,,8,,0,,,12,,,1,,0,,,,-8,,,,,3,,,,,,1,,,,,0,,-2,,,,4,,,,,,6,,,,0
Wikipedia,112,475912,I was really unsure on what to do with <url> so I made it into a dab. That ok?,,,,,,7,,-5,,,5,,,-1,,-6,,,,0,,,,,4,,,,,,0,,,,,-1,,-2,,,,2,,,,,,6,,,,3
Wikipedia,113,520796,What do you think? Perhaps the coat of arms field can contain the picture that the article's family name infobox already has?,,,,,,6,,3,,,8,,,1,,1,,,,1,,,,,7,,,,,,5,,,,,0,,8,,,,3,,,,,,9,,,,5
Wikipedia,114,343273,"I consider <url> to be the single most important edit I have ever made. God, what is happening with The Beatles coverage on Wikipedia?",,,,,,-3,,-6,,,5,,,-2,,-3,,,,0,,,,,0,,,,,,2,,,,,0,,0,,,,-3,,,,,,0,,,,1
Wikipedia,115,397759,I find it hard to believe one editor (even one so prolific as RickK) can have much of an effect overall. Do contributors on either side have any (non-anecdotal) evidence that suggests otherwise?,,,,,,1,,-10,,,2,,,-2,,-5,,,,-2,,,,,3,,,,,,4,,,,,5,,1,,,,-2,,,,,,0,,,,5
Wikipedia,116,235522,Which discussion are you referring to? On which article's talk page?,,,,,,0,,3,,,12,,,0,,-4,,,,-4,,,,,4,,,,,,0,,,,,4,,-2,,,,0,,,,,,0,,,,0
Wikipedia,117,464868,"Hi, I recently got approval for your requested link replacement (sorry for the delay), but, after doing a <url> there seems to be very few links left to replace. Could you confirm the problem is solved?",,,,,,7,,6,,,12,,,5,,2,,,,5,,,,,4,,,,,,3,,,,,3,,10,,,,7,,,,,,12,,,,4
Wikipedia,118,337509,The Olbermann thing is being discussed on the <url> talk page. Do you have anything to add?,,,,,,5,,-4,,,12,,,5,,-1,,,,5,,,,,4,,,,,,3,,,,,2,,1,,,,0,,,,,,3,,,,1
Wikipedia,119,626197,REVERT???,,,,,,-6,,-12,,,0,,,-8,,-11,,,,0,,,,,,,,,,,-5,,,,,-5,,-8,,,,-9,,,,,,-9,,,,-8
Wikipedia,120,72763,"I started, but gave up. And why link the word 'mother'?",,,,,,3,,-10,,,3,,,-3,,-12,,,,-5,,,,,-1,,,,,,-2,,,,,-1,,-3,,,,-6,,,,,,-9,,,,-9
Wikipedia,121,283735,"So how are u gonna concider weither the licences used by Fluckr are accurate...? ,and if this image has to bee conciderd than Image:Petercrouch_liverpool.JPG should be to..?",-11,,,-5,,,-1,,,,11,,,,-1,,,,0,,,-2,,,,,,,1,,-3,,,0,,,,-6,,,0,,,,,3,,,,,,1
Wikipedia,122,524373,"AnonEMouse, I have noticed today that there are many recent comments on the <url> talk page that do not show in ""history"". How can that happen?",-1,,,0,,,1,,,,4,,,,0,,,,0,,,-6,,,,,,,6,,7,,,-3,,,,0,,,-1,,,,,0,,,,,,3
Wikipedia,123,25727,"It turns out that the Zelda Collection you referred to in <url> didn't include aLttP, reportedly because the GBA remake was still being sold at that time, so that disc included NES and N64 emulation but left out SNES. Do you have another example?",4,,,6,,,2,,,,,,,,3,,,,0,,,12,,,,,,,3,,6,,,-1,,,,1,,,1,,,,,3,,,,,,2
Wikipedia,124,629591,I just did some edits on it. Feedback?,-10,,,5,,,4,,,,7,,,,4,,,,9,,,-3,,,,,,,-1,,6,,,0,,,,-4,,,-1,,,,,3,,,,,,-6
Wikipedia,125,184558,"That looks better. I think I'm about done now, but old Theobald's still at Featured Article candidates isn't he?",-6,,,9,,,1,,,,2,,,,1,,,,9,,,-2,,,,,,,0,,6,,,0,,,,0,,,0,,,,,3,,,,,,-4
Wikipedia,126,626716,"Even worse: ""The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes."" This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete the article. Do you know of any similar contributions you've made?",-3,,,4,,,-5,,,,1,,,,1,,,,0,,,-1,,,,,,,3,,6,,,-3,,,,1,,,-1,,,,,3,,,,,,1
Wikipedia,127,30722,You added to the Order of Victoria and Albert page that no awards were given out after the death of Queen Victoria. According to the <url> she became the tSovereign of the Order in 1952. Is this just because the order was never officially scrapped ?,-6,,,6,,,-5,,,,9,,,,1,,,,0,,,2,,,,,,,0,,5,,,0,,,,-1,,,0,,,,,3,,,,,,-2
Wikipedia,128,392689,As you can tell from my user page I do like art. I noticed you talking about a film ambassador on WikiProject Film (An project that I am active on) and I was wondering what is the main goals of film ambassador?,-2,,,5,,,7,,,,3,,,,,,,,7,,,0,,,,,,,1,,5,,,6,,,,2,,,3,,,,,0,,,,,,3
Wikipedia,129,404995,I noticed that you are the major contributor to the articles. Mind if I nominate <url> at <url>?,4,,,7,,,7,,,,12,,,,6,,,,3,,,,,,,,,,1,,7,,,0,,,,4,,,3,,,,,1,,,,,,3
Wikipedia,130,297846,Would my doing a read-through looking out for that kind of thing be useful? Or would it be merely annoying?,0,,,3,,,2,,,,9,,,,4,,,,5,,,-8,,,,,,,2,,8,,,12,,,,3,,,-4,,,,,4,,,,,,-1
Wikipedia,131,292769,What would that do? Is that good?,,,,,-4,,,,-4,,,,,,-1,,,,0,,-1,,,,4,0,,,0,,,,,0,,,-1,,,,0,,,,,6,,,-3,,,-5
Wikipedia,132,621555,"Creating and improving images, or just placing them in articles/making sure they have the right copyrights/etc.?",,,,,0,,,,0,,,,,,,,,,1,,-1,,,,0,0,,,1,,,,,0,,,-2,,,,0,,,,,0,,,3,,,-4
Wikipedia,133,378972,"Your DYK hook for <url> is missing something. It says ""''Frank Bancroft managed the now-defunct Major League Baseball Providence Grays...''"" - maybe ""'''his''' now-defunct Major League Baseball '''team, the''' Providence Grays,...""?",,,,,0,,,,2,,,,,,-2,,,,0,,0,,,,0,1,,,3,,,,,-3,,,-3,,,,0,,,,,3,,,-1,,,-1
Wikipedia,134,625006,"Yes, ''kaen chokugeki hou'' is exactly right. Do you have that same NTSC Hong Kong DVD that I do?",,,,,2,,,,5,,,,,,1,,,,3,,1,,,,3,3,,,8,,,,,0,,,0,,,,2,,,,,0,,,0,,,2
Wikipedia,135,490623,I'll also add some categories to cover the collaboration nomination procedure and we should think about setting up a project <url>. Can you think of anything else that we need to tag that could be better handled through the comicsproj template than a banner on the front page?,,,,,6,,,,6,,,,,,1,,,,11,,1,,,,4,5,,,11,,,,,9,,,2,,,,2,,,,,6,,,6,,,8
Wikipedia,136,557002,One oddity is that the Library of Congress isn't officially the U.S. national library; there are only national libraries in Medicine and Agriculture. Do you compare specialized libraries?,,,,,3,,,,0,,,,,,,,,,6,,1,,,,0,3,,,4,,,,,0,,,2,,,,1,,,,,0,,,0,,,4
Wikipedia,137,621427,"I don't think so, <name>. Can we just once attempt to let this pass by without calling for the heads of people?",,,,,-6,,,,-4,,,,,,-10,,,,3,,-3,,,,-3,6,,,-1,,,,,-10,,,-1,,,,-1,,,,,0,,,3,,,1
Wikipedia,138,198022,"Senta.jpg was garbled or empty or some such, so I deleted it. You might want to try re-uploading?",,,,,-2,,,,3,,,,,,-6,,,,2,,-2,,,,-1,3,,,0,,,,,1,,,-4,,,,-1,,,,,3,,,-1,,,5
Wikipedia,139,607112,"It's probably a bit late to be asking this, but why did you dispute the factual accuracy of the page <url>? Also, why was no mention of the nature of the dispute made anywhere?",,,,,-2,,,,-3,,,,,,-7,,,,0,,-2,,,,0,5,,,3,,,,,0,,,-3,,,,0,,,,,3,,,-6,,,6
Wikipedia,140,619630,"Do you know how to make the 'All Star Template' appear only at the bottom, as well as the 'Confirmed future sites', so the actual table appears at the top of the page??",,,,,5,,,,2,,,,,,2,,,,8,,-5,,,,0,3,,,4,,,,,0,,,0,,,,0,,,,,3,,,3,,,-1
Wikipedia,141,522923,"Just letting you know (since you have mentioned AFDing <url>) that weu2019ve gone to some effort to establish notability with <url>, and have added three reliable, notable, third-party sources to the article. Do you feel these sources establish <url> as being notable (<url> and all that)?",,,,4,,,0,,,-5,,,,,9,,,,7,,,,,,,,7,,,5,,,,,0,,,,2,,,,,1,,5,,,,0,,
Wikipedia,142,164112,"Hi, you've done a lot of work on comparing Featured Article country articles. Are you aware of any country that got special praise for the selection of images in the article?",,,,4,,,5,,,1,,,,,11,,,,12,,,2,,,,,6,,,2,,,,,4,,,,3,,,,,4,,3,,,,0,,
Wikipedia,143,627346,"One wonders, of course, who ""Elliott of Macedon"" would have been. Probably something analogous to Brian of Nazareth but in a Macedonian phalanx?",,,,0,,,0,,,0,,,,,0,,,,9,,,-2,,,,,2,,,0,,,,,5,,,,-1,,,,,6,,3,,,,1,,
Wikipedia,144,630160,"'SO!?!?'', what has it got to do with you?",,,,-12,,,-10,,,-5,,,,,-9,,,,-11,,,-12,,,,,-8,,,-7,,,,,5,,,,2,,,,,5,,-9,,,,-3,,
Wikipedia,145,559372,how do i propose to change the name of <url> to <url> ??,,,,0,,,-2,,,-2,,,,,0,,,,8,,,-1,,,,,5,,,4,,,,,3,,,,-3,,,,,5,,0,,,,0,,
Wikipedia,146,623158,"Deletion requires some care: an administrator has to check that the prod tag has been on the article for 5 day continously, that the prod'ed version was not the result of vandalism, that the prod reason is acceptable (possibly checking the talk page), then has to delete the article reporting this reason, possibly deleting the talk page, and finally checking the incoming links. Before starting doing this on every article in the category this adimin relies on the number of categories instead of calculating five days to today?",,,,1,,,-2,,,-1,,,,,,,,,8,,,,,,,,0,,,,,,,,5,,,,0,,,,,6,,0,,,,0,,
Wikipedia,147,502036,"Is 10 months sufficient time to relist a Article for deletion Not too soon, correct?",,,,-1,,,-3,,,-2,,,,,4,,,,11,,,0,,,,,-2,,,3,,,,,7,,,,1,,,,,6,,2,,,,0,,
Wikipedia,148,41079,Is Castle Donington an incorporate municipality? Or is it just a place name?,,,,0,,,1,,,-2,,,,,2,,,,9,,,2,,,,,-3,,,0,,,,,1,,,,2,,,,,4,,0,,,,0,,
Wikipedia,149,415277,Sorry for not replying sooner. What would you like done with your page?,,,,12,,,6,,,0,,,,,12,,,,12,,,7,,,,,4,,,5,,,,,7,,,,3,,,,,6,,8,,,,2,,
Wikipedia,150,125539,"I am in the process of responding to your message on my talk page. In the mean time, did Lochdale ever inadvertently expose his IP, such as editing while logged out and then logging in and signing?",,,,4,,,-1,,,0,,,,,2,,,,8,,,-3,,,,,-2,,,6,,,,,7,,,,1,,,,,5,,2,,,,0,,
Wikipedia,151,432640,"Hi, I tweaked it again. Could you check please?",,,,,3,,,2,,-4,,,3,,,4,,,,,,,8,5,,,,,3,,,,,6,,,,,,,3,,12,,,,9,,,,-1,
Wikipedia,152,255097,"To be quite frank it doesn't matter that the quotes don't appear any other place on the internet, the point is that they violate policy by being here and you could always set up a personal website to host them where all you'd have to worry about is fair use and not Wikipedia's stricter requirements. Are there more of these quote/source pages than <url>, <url> and <url>?",,,,,-4,,,-4,,-6,,,-3,,,-3,,,,,,,-4,0,,,,,1,,,,,-2,,,,,,,1,,7,,,,-1,,,,-1,
Wikipedia,153,565696,Oh dear. Does that mean it's too difficult a read for Wiki?,,,,,-1,,,5,,0,,,5,,,4,,,,,,,5,3,,,,,3,,,,,0,,,,,,,3,,0,,,,0,,,,-11,
Wikipedia,154,620540,"Oh, yeah, I've heard of that--that was the issue the Colonel was (incorrectly) alluding to, right? Is that list to which your link sent me something that Steve had to create, or was it generated automatically?",,,,,-2,,,0,,0,,,1,,,-2,,,,,,,2,1,,,,,-1,,,,,3,,,,,,,1,,0,,,,0,,,,0,
Wikipedia,155,237753,"I'm wondering why in the <url> article, you keep changing the link <url> to <url> which just redirects to <url>? Why not just leave the link to point to the intended article directy?",,,,,-3,,,-3,,-2,,,-5,,,-9,,,,,,,2,0,,,,,2,,,,,3,,,,,,,-1,,-12,,,,-1,,,,-3,
Wikipedia,156,589985,"PS I also am wondering about the letter ""ll"". It seems, like the Welsh <url>, to have a particular (and tricky) pronunciation, but thereu2019s nothing on the <url> or <url> pages about it: Can you shed any light on this?",,,,,3,,,-3,,0,,,0,,,6,,,,,,,11,3,,,,,7,,,,,0,,,,,,,4,,-1,,,,-1,,,,0,
Wikipedia,157,473852,"More a bot to flag articles where persondata and defaultsort disagree, so that humans can check which is correct. I presume your bot already detects cases where DEFAULTSORT and listas disagree?",,,,,-3,,,0,,-2,,,1,,,-2,,,,,,,0,0,,,,,-1,,,,,0,,,,,,,1,,-3,,,,-2,,,,-1,
Wikipedia,158,619643,Really? When/where did that happen?,,,,,0,,,0,,-3,,,0,,,0,,,,,,,0,1,,,,,0,,,,,0,,,,,,,0,,0,,,,-1,,,,0,
Wikipedia,159,196201,The <url> disambiguation page seems to be a model for collecting the related entries for IOOF buildings in a single place. Do you agree?,,,,,3,,,3,,0,,,0,,,0,,,,,,,11,3,,,,,4,,,,,0,,,,,,,2,,0,,,,0,,,,0,
Wikipedia,160,564946,"Hi there, I've raised the possibility of unprotecting the tamazepam page <url>. What are your thoughts?",,,,,6,,,5,,0,,,4,,,8,,,,,,,12,4,,,,,3,,,,,2,,,,,,,3,,0,,,,-1,,,,1,
Wikipedia,161,291631,"Also, how does that vandalism thing on your page work? Do you have to change the count manually, or does it detect vandalism itself?",0,,,,,1,,,,-3,,,0,,,,,-1,,,-1,,0,,,,,,,3,,2,,,,,,,-1,,,6,,,,,,-9,,,0,
Wikipedia,162,620910,"Thanks, can we write an article on that ? do you think it is notable enough ?",-2,,,,,4,,,,9,,,6,,,,,2,,,2,,10,,,,,,,4,,12,,,,,,,1,,,12,,,,,,3,,,0,
Wikipedia,163,262902,Why haven't you submitted the diet to Good Article? And when are you going for Featured Article candidates?,-8,,,,,-5,,,,-11,,,-4,,,,,-2,,,-3,,-1,,,,,,,-4,,-12,,,,,,,-3,,,-9,,,,,,-6,,,-3,
Wikipedia,164,624484,"Where is the exception in <url> for ""tossing out citations and verifiable in order to make it easier for the reader""? Who are you to disagree with Nikon's label of ""Compact Professional""?",-12,,,,,-7,,,,-12,,,-2,,,,,-8,,,-7,,-11,,,,,,,-8,,-8,,,,,,,2,,,-12,,,,,,0,,,0,
Wikipedia,165,620852,Thanks! =D And how soon are we going to try to get The Lost Age to Featured Article?,4,,,,,-3,,,,4,,,7,,,,,3,,,2,,7,,,,,,,6,,2,,,,,,,4,,,9,,,,,,12,,,2,
Wikipedia,166,577073,"I am doing stub cleaning and consolidation that is needed to reduce the incidence of tiny articles. For instance, did you know that the Luis Rodriguez article was linked to by a music producer, two boxers and a singer?",-1,,,,,5,,,,1,,,-3,,,,,1,,,0,,3,,,,,,,2,,0,,,,,,,4,,,6,,,,,,-3,,,0,
Wikipedia,167,215843,"I didn't remove the image; I just moved it down to the bottom of the box, to avoid having a long stack of images at the top. Is that a problem?",-7,,,,,6,,,,-9,,,2,,,,,-1,,,-4,,-1,,,,,,,-4,,-12,,,,,,,1,,,6,,,,,,-6,,,-1,
Wikipedia,168,629841,Is there any way I could talk you into being more conservative with creation of new articles? Do you agree that some of what you're creating here would be seen as obviously deletable material by most editors?,-10,,,,,-8,,,,-3,,,3,,,,,-1,,,-7,,-10,,,,,,,-7,,12,,,,,,,-1,,,12,,,,,,-5,,,2,
Wikipedia,169,612483,"I still prefer Huxley's version, as I don't think that version makes the dying off clear, and ignores the r-type organism analogue. Is there any way to work more emphasis into the dying off part in, as it's absolutely crucial to the removal of unfit forms?",-6,,,,,3,,,,0,,,0,,,,,0,,,0,,2,,,,,,,2,,10,,,,,,,3,,,-6,,,,,,9,,,-1,
Wikipedia,170,554731,"By chance, I have indef blocked <person> over your 31-hour block. Would you like me to keep indef block or change it back to 31 hours?",-2,,,,,-5,,,,0,,,-1,,,,,0,,,3,,3,,,,,,,3,,11,,,,,,,-1,,,6,,,,,,0,,,2,
Wikipedia,171,83784,"OK, the 3920th is done. Any further thoughts?",,,,3,,,,,,,,,,1,,,,,12,,1,,,2,,0,,6,,,,6,,,,,,-7,,,,,0,,,,3,,,,0,
Wikipedia,172,384811,"Yobot labelled <url> as a stub, though it has <person>. Perhaps that's a dab template Yobot doesn't know about?",,,,2,,,,,,,,,,4,,,,,9,,2,,,1,,2,,2,,,,9,,,,,,-5,,,,,1,,,,0,,,,0,
Wikipedia,173,508269,"...why not try something a bit more proactive? Now, obviously he's using proxies, but are there no rangeblocks that might make his job harder?",,,,-2,,,,,,,,,,-1,,,,,6,,-5,,,2,,4,,-3,,,,-7,,,,,,-3,,,,,-7,,,,-9,,,,-1,
Wikipedia,174,328920,The copyediting is being done as I speak. Anything else you can think of?,,,,5,,,,,,,,,,7,,,,,12,,3,,,1,,9,,2,,,,0,,,,,,-2,,,,,0,,,,0,,,,0,
Wikipedia,175,594145,thank you. any clue what happened?,,,,12,,,,,,,,,,6,,,,,10,,2,,,3,,0,,6,,,,2,,,,,,1,,,,,6,,,,6,,,,3,
Wikipedia,176,542963,"See: <url>. If I remember correctly, you said you planned on cleaning up after the bot tagged the images; is that still the case?",,,,9,,,,,,,,,,-1,,,,,8,,-1,,,3,,4,,-1,,,,6,,,,,,-3,,,,,0,,,,-3,,,,-2,
Wikipedia,177,133725,"I don't think I've used it in Wikipedia. So, if I haven't, why did you bring it up?",,,,-5,,,,,,,,,,-8,,,,,3,,-5,,,-3,,0,,-4,,,,-7,,,,,,-6,,,,,-12,,,,-11,,,,-2,
Wikipedia,178,355457,"Some pictures are not mine, but those that I have changed, their own. And you can submit a complaint the owners of those photos?",,,,0,,,,,,,,,,0,,,,,2,,-5,,,,,1,,-2,,,,,,,,,,-3,,,,,-10,,,,-6,,,,0,
Wikipedia,179,496654,"When I find 20 sources calling an Individual Armenian including TURKISH, the NYT and Time's article are presented in a dubious manner, how can I bey considered aggressive? It is the duty of every editor and admin to weed out Original research and dubious citations, no?",,,,-4,,,,,,,,,,-4,,,,,3,,-2,,,0,,2,,-4,,,,-8,,,,,,-1,,,,,-10,,,,-10,,,,-1,
Wikipedia,180,567951,Are you calling me a vandal for visiting your user page? Or am I just <url>?,,,,-5,,,,,,,,,,-8,,,,,1,,-2,,,0,,2,,-4,,,,-8,,,,,,-6,,,,,-6,,,,-10,,,,-2,
Wikipedia,181,34411,I was thinking about creating a page about Nintendo eShop. And since you are a well trusted user I am asking you if you think that would just be deleted because there isn't enough information?,,,,,,6,1,,,,12,,,,,1,7,,,0,,,,3,,,,10,,,,,4,,,,,,,4,,9,,,,3,,,,2,,
Wikipedia,182,381792,It is an obvious and strongly followed point that april fools jokes ''should not disrupt the running of the wiki''. Could you explain why the HELLS you coated a dozen users' pages with pictures of jimbo's ugly bearded fizzogg?,,,,,,-11,-9,,,,-2,,,,,-12,-12,,,0,,,,-6,,,,-11,,,,,0,,,,,,,-4,,-12,,,,3,,,,2,,
Wikipedia,183,141067,There is a special tool which shows you page sizes? Would you like to know how to use it?,,,,,,10,3,,,,6,,,,,0,2,,,-1,,,,4,,,,-11,,,,,-2,,,,,,,5,,12,,,,5,,,,2,,
Wikipedia,184,258490,"Your <url> is a brilliant idea! Would you mind if I linked to it from my collection of ""Useful things"" on my user page?",,,,,,12,7,,,,12,,,,,12,8,,,3,,,,5,,,,12,,,,,4,,,,,,,12,,12,,,,5,,,,4,,
Wikipedia,185,280419,"See the page <url>, and in particular the section <url>. Does that make sense?",,,,,,1,5,,,,7,,,,,0,3,,,1,,,,0,,,,-1,,,,,-3,,,,,,,-7,,-8,,,,1,,,,0,,
Wikipedia,186,625663,"Thank you for your comments. May I refer you to <url>, where I think you will find the sort of criticism section that you are looking for?",,,,,,12,7,,,,5,,,,,11,4,,,-1,,,,4,,,,6,,,,,4,,,,,,,4,,9,,,,7,,,,4,,
Wikipedia,187,563491,"The Hitchin-related hoax claims by <url> seem to have led to a rather precipitate response, considering that he has only been an editor for a few days. Is there something going on here that isn't obvious?",,,,,,0,0,,,,3,,,,,-7,2,,,0,,,,0,,,,1,,,,,0,,,,,,,0,,-4,,,,4,,,,0,,
Wikipedia,188,163563,Hello im trying to make a task force for the Empire of Brazil with some people but we dont know how to make the actually task force stuff like the banner and how to make the quality chart template to see what class each article is. Im asking if you can help make it since i saw you made WikiProject Dam?,,,,,,7,1,,,,12,,,,,-3,4,,,1,,,,2,,,,6,,,,,0,,,,,,,4,,5,,,,0,,,,0,,
Wikipedia,189,358625,I can't find anything about Crimson Echoes' Gameplay. Do you think that its good as it is?,,,,,,1,3,,,,8,,,,,-3,4,,,-2,,,,1,,,,-3,,,,,3,,,,,,,-2,,-2,,,,2,,,,0,,
Wikipedia,190,380241,"Sorry <name>, but I don't understand. Even if your man didn't meet <url>, how could he fail to meet <url>?",,,,,,-9,-4,,,,8,,,,,-9,3,,,3,,,,2,,,,-4,,,,,-3,,,,,,,-7,,-6,,,,3,,,,0,,
Wikipedia,191,214946,"Hey, several of the footnotes that you use in <url> are Harvard footnotes, which means that they need the full citation of the books in works cited section. I imagine you grabbed some of that information from some other places, would you mind retriveing the bibliographic data?",,6,4,,,,,10,4,,,,8,,,-3,,,,,,2,,,,,-3,,,4,,2,,,,,6,,,,1,,,,,3,,,2,,,
Wikipedia,192,231174,Don't you think it's taken too far back to be of any use? Do we have any alternatives?,,-1,2,,,,,-3,3,,,,0,,,-9,,,,,,,,,,,0,,,-3,,-2,,,,,-2,,,,-1,,,,,5,,,2,,,
Wikipedia,193,619548,How do you save it??,,0,0,,,,,0,5,,,,0,,,-2,,,,,,-1,,,,,-3,,,0,,-2,,,,,0,,,,0,,,,,0,,,-1,,,
Wikipedia,194,342335,"<url> <url> version, but mighty all the same. Am I wrong?",,-4,2,,,,,-1,2,,,,0,,,-4,,,,,,-3,,,,,4,,,-2,,-2,,,,,1,,,,-1,,,,,0,,,3,,,
Wikipedia,195,290134,Hi <name>- I'm a touch concerned about the entry on Ian Levine's bio about his comparison to the Abzorbaloff thing. Even if critics have speculated about it- is this really needed on a biographical page?,,8,2,,,,,-3,4,,,,0,,,-3,,,,,,-9,,,,,6,,,-2,,0,,,,,3,,,,0,,,,,3,,,0,,,
Wikipedia,196,257087,I get the regular edit page with the instructions and everything when I click on it. Did you replace SOCKMASTER with the actual name of the sockmaster (the account controlling all the sock puppets) in the box?,,-3,0,,,,,-4,1,,,,0,,,0,,,,,,0,,,,,-1,,,-2,,0,,,,,0,,,,0,,,,,1,,,-2,,,
Wikipedia,197,385104,"The <url> states that ''Endymion'' was an <person>, and the only one of five actually built. Does Conway mention this?",,6,0,,,,,3,0,,,,1,,,0,,,,,,0,,,,,0,,,4,,0,,,,,0,,,,0,,,,,2,,,0,,,
Wikipedia,198,529029,last msg ???,,-11,-3,,,,,-9,0,,,,-4,,,-3,,,,,,-11,,,,,-7,,,-8,,-2,,,,,-3,,,,-1,,,,,0,,,3,,,
Wikipedia,199,24580,"Okay. But in that case, shouldn't the meanings ""of"" and ""from"" from some languages be removed from the article as well?",,-3,2,,,,,-2,-3,,,,-1,,,-2,,,,,,-2,,,,,6,,,-3,,-1,,,,,-1,,,,0,,,,,2,,,2,,,
Wikipedia,200,466860,Thanks for the info but the page is still giving the same warnings. Any ideas why this might be happening?,,4,8,,,,,-1,8,,,,7,,,2,,,,,,-1,,,,,8,,,5,,10,,,,,1,,,,1,,,,,2,,,1,,,
Wikipedia,201,226534,"It's cool (<url>), but the high resolution vs. seems to be different, see <url>. Hmm why?",,,,5,,,,,,,12,-1,,,,,,,3,,,,,,,,8,,,-3,,,,,,,,,2,,,,,-2,3,,,,3,,,
Wikipedia,202,529244,"Hi <name> I can't seem to find a hook I entered in DYK Feb 24, it's about the novel <url>, along with suggestions from other eds. Can you find what happened to it, please?",,,,12,,,,,,,11,6,,,,,,,11,,5,,,,,,12,,,6,,,,,,,,,4,,,,,0,3,,,,3,,,
Wikipedia,203,281450,(undent) Your Chinese is much better than mine. Is it possible in Chinese to omit a conjunction such as u548c or u8ddf and let a string of two successive nouns refer to a set of two objects?,,,,12,,,,,,,12,8,,,,,,,5,,3,,,,,,5,,,8,,,,,,,,,8,,,,,4,2,,,,5,,,
Wikipedia,204,377336,"BTW, small step, huh, from Berkely to Soman's talk page. What's next--Cambridge?",,,,-6,,,,,,,1,-1,,,,,,,3,,-4,,,,,,-5,,,-4,,,,,,,,,0,,,,,0,-2,,,,2,,,
Wikipedia,205,559786,"OK, same situation here :-) Marskell and I agreed on a proposal that would initially just give us some backup on the day-to-day stuff, not necessarily closes, but to work in to people who could help when we needed time off. Is it OK with you if I go ahead and propose that to Raul?",,,,12,,,,,,,12,4,,,,,,,12,,3,,,,,,12,,,0,,,,,,,,,4,,,,,7,3,,,,5,,,
Wikipedia,206,475950,"That line in <url>: ''<url>, the slashed zero character'', shouldn't it be ''<url> or slashed zero, the slashed zero character''? How's <url> doing?",,,,9,,,,,,,2,0,,,,,,,2,,6,,,,,,0,,,-3,,,,,,,,,-1,,,,,1,-2,,,,,,,
Wikipedia,207,528867,"Hey,saw you had a page in the works in your sandbox. Are you planning to move it to mainspace soon?",,,,7,,,,,,,9,6,,,,,,,6,,-3,,,,,,0,,,-3,,,,,,,,,1,,,,,-3,-3,,,,-2,,,
Wikipedia,208,68487,"Thanks. As for the previous edits, should I make a note on the User Page that it's my account?",,,,12,,,,,,,12,1,,,,,,,7,,2,,,,,,2,,,3,,,,,,,,,3,,,,,-5,-2,,,,6,,,
Wikipedia,209,545586,"Uh, okay, the tabs for the pull-down menues, which were visible to me before, are no longer visible. Is this because i screwed up a setting with Twinkle, or because my thinkpad is not displaying the entire page (preliminary fiddling around seems to eliminate this possibility)?",,,,0,,,,,,,5,-1,,,,,,,1,,-2,,,,,,0,,,-7,,,,,,,,,3,,,,,-4,-3,,,,3,,,
Wikipedia,210,238914,"Hi Editorofthewiki, both images are just fine. I don't see an open review for the article; is there somewhere in particular you'd like me to make this comment, if not just here?",,,,7,,,,,,,12,7,,,,,,,11,,4,,,,,,2,,,3,,,,,,,,,3,,,,,0,2,,,,3,,,
Wikipedia,211,366668,"'<url>'''Please also answer the questions at paragraph '''<url>''' above, as you are looking like a classic bully admin who abuses his powers and should be stripped of that role. Is there any review process in wikipedia, for proposing that you be stripped of your admin powers for bullyism?",-12,,,-12,,,-5,,,,6,,0,,,,,-6,,,,,-12,,,,6,,,,-2,,,,,,,,0,,,,0,,,-2,,-11,,,,5
Wikipedia,212,148625,Great job. Will it be done by next week?,5,,,12,,,5,,,,12,,8,,,,,5,,,,,7,,,,12,,,,1,,,,,,,,4,,,,3,,,3,,9,,,,-3
Wikipedia,213,164285,"I aggree... river name then ""River"". Do you think that since it's a list of rivers in China we should use the Chinese name and the international norm name too?",4,,,12,,,6,,,,12,,0,,,,,0,,,,,10,,,,9,,,,1,,,,,,,,3,,,,0,,,3,,9,,,,6
Wikipedia,214,204025,I believe that an opinion about AS belongs only to article about AS (and you are welcome to cite the MS opinion ''in proper context''). However an opinion about MS belongs only to article about MS. Is not this fair and logical?,-3,,,3,,,0,,,,7,,0,,,,,-1,,,,,-6,,,,3,,,,-1,,,,,,,,,,,,-3,,,3,,-2,,,,6
Wikipedia,215,111006,"Another thing, I been working on trying to improve the SVG graphics at the Commons. Except for the white color background, does everything else at <url> look decent?",0,,,7,,,0,,,,11,,-1,,,,,2,,,,,3,,,,3,,,,0,,,,,,,,3,,,,0,,,3,,0,,,,4
Wikipedia,216,470366,"<name>, since you're the uninvolved admin here, can you just block this <url>? Or do I have to report him to Adimistrator noticeboard?",-6,,,-7,,,-4,,,,5,,2,,,,,0,,,,,-4,,,,-2,,,,3,,,,,,,,2,,,,-6,,,0,,-1,,,,6
