Community,,Num,Id,Id,Request,Request,Batch,,,,,,,,,
Wikipedia,73,279097,Ok I've moved &lt;url&gt; back to &lt;url&gt;. &lt;name&gt; you want to write something on the talk page about the move?,Ok I've moved <url> back to <url>. <name> you want to write something on the talk page about the move?,13,13,13,15,13,A233ONYNWKDIYF,A2ZKDPANCVA690,A22SZHZTF72TRM,AHH34KPTA2LSS,A37ADCYLCSB5O2,-0.174420945,TRUE
Wikipedia,74,155694,"I see you've added &lt;url&gt; to the category ""Jewish-Canadians"". What is your source for this?","I see you've added <url> to the category ""Jewish-Canadians"". What is your source for this?",9,13,13,9,13,A233ONYNWKDIYF,A38WUWONC7EXTO,A1CIIX0CB0GR7H,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,-0.5733661,TRUE
Wikipedia,75,460480,"I thought that I should tell you that I created a new SVG version of the Wikipedia logo, located &lt;url&gt;. It has a few problems, could you help me with it?","I thought that I should tell you that I created a new SVG version of the Wikipedia logo, located <url>. It has a few problems, could you help me with it?",15,21,13,21,17,A1T5YMBH35PDBX,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A3GOI327COFGY5,A2AMGE57IJVSHF,0.910388191,TRUE
Wikipedia,76,555331,I must be missing something here. Would you mind clarifying for me the nature of your extensive work on &lt;url&gt;?,I must be missing something here. Would you mind clarifying for me the nature of your extensive work on <url>?,6,2,21,10,9,A2WMO1T9CJW4YO,A1BQCRF5Q76YFY,AO3XB5I5QNNUI,A1ST1WRDA4ALST,A3SQ6ORWDN5BGZ,-0.789036223,TRUE
Wikipedia,77,522511,"Alistair, you have only undone the autoblock; you haven't unblocked the account yet. Could you do that, please?","Alistair, you have only undone the autoblock; you haven't unblocked the account yet. Could you do that, please?",18,21,19,17,13,A16PRU8T6NZLN5,A233ONYNWKDIYF,A1KC138MX47DXA,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,0.676901724,TRUE
Wikipedia,78,221905,I don't know why claim that you reverted vandalism (rv edit summary) when to me they appeared to be good faith edits. What exactly was the vandalism?,I don't know why claim that you reverted vandalism (rv edit summary) when to me they appeared to be good faith edits. What exactly was the vandalism?,9,9,5,11,13,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A07479753QYCZ4D30VB72,A29B522D0BX6HN,AIPK94CUWL45W,-0.864569868,TRUE
Wikipedia,79,344970,Do you mean article edits with sock puppets? Could you give me more precise examples?,Do you mean article edits with sock puppets? Could you give me more precise examples?,17,21,14,17,12,A233ONYNWKDIYF,A21753FQKCM5DQ,A2VMJFBCB921NI,ARYGQ46IMW8AU,AZOAW8JH5HJJK,0.590740867,TRUE
Wikipedia,80,299080,I see that you don't have an account linked to the Wikipedia email. Would you be able to send me a message so that we can talk off Wikipedia?,I see that you don't have an account linked to the Wikipedia email. Would you be able to send me a message so that we can talk off Wikipedia?,18,10,21,20,21,A2WKPCZU4U110T,AVHARSCRX7M9E,A2ULMYRKQMNNFG,A3E11SHVDD48Z8,AZ1RJVNOZFIWV,0.789105309,TRUE
Wikipedia,81,622010,"You are correct that the science is not copyright, but the purpose of the cite is &lt;url&gt;. If I want to check your equation, where should I look?","You are correct that the science is not copyright, but the purpose of the cite is <url>. If I want to check your equation, where should I look?",17,16,21,15,15,A233ONYNWKDIYF,A3CA5S8GR8TZ1U,A1BJTTNDDFZ3ZP,A3EJ5TT2ZGBIDA,A3FGBGZ4RKH712,0.627949801,TRUE
Wikipedia,82,627441,And wasting our time as well. I can only repeat: why don't you do constructive work by adding contents about your beloved Makedonia?,And wasting our time as well. I can only repeat: why don't you do constructive work by adding contents about your beloved Makedonia?,3,9,1,1,13,A2ZABRSFZKUOKV,AC25X12LNYY6Y,A22CF8BF9YQND7,A13CO3B2BRXQLZ,A3HZVDLYFUZ7KE,-1.556198597,TRUE
Wikipedia,83,526810,"There is a recommendation on the talk page of the ""&lt;url&gt;"". What do you think of it?","There is a recommendation on the talk page of the ""<url>"". What do you think of it?",13,21,17,13,17,A2VMJFBCB921NI,A2C7SCWZI379A9,A1RT9SQ9D9DLOV,A1Y3Z92RE62NPS,A2WZQ92N4809N1,0.197944295,TRUE
Wikipedia,84,347262,"I removed that second paragraph entirely, since the information is covered in the article. Do you feel that the lead should be larger?","I removed that second paragraph entirely, since the information is covered in the article. Do you feel that the lead should be larger?",16,17,21,15,13,AYG3MF094634L,A1F4D2PZ7NNWTL,A3G7QIYLFOXFG7,AZOAW8JH5HJJK,A1Y3Z92RE62NPS,0.711767692,TRUE
Wikipedia,85,630132,All allegations currently in the article should have sources. Can you indicate which ones do not?,All allegations currently in the article should have sources. Can you indicate which ones do not?,17,13,12,14,10,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2VMJFBCB921NI,AYG3MF094634L,A1F4D2PZ7NNWTL,-0.304533406,TRUE
Wikipedia,86,50455,I noticed that you have a little note at the top saying your status. How do you do that?,I noticed that you have a little note at the top saying your status. How do you do that?,12,17,21,17,17,A2WMO1T9CJW4YO,A1BQCRF5Q76YFY,AO3XB5I5QNNUI,A1ST1WRDA4ALST,A3SQ6ORWDN5BGZ,0.598831703,TRUE
Wikipedia,87,353762,Why are capital letters used in the article title ''&lt;url&gt;''? Is this a proper name of a particular proprietary software package?,Why are capital letters used in the article title ''<url>''? Is this a proper name of a particular proprietary software package?,21,13,21,13,10,A2X9AEDAHF7O7S,AYG3MF094634L,A204JAK7QRDWVM,A38WUWONC7EXTO,A1F4D2PZ7NNWTL,-0.024252624,TRUE
Wikipedia,88,177451,"Are you saying that Scotty was being ""hot-headed""? If so, can you please tell us what Scotty did that was ""hot-headed""?","Are you saying that Scotty was being ""hot-headed""? If so, can you please tell us what Scotty did that was ""hot-headed""?",12,7,15,5,13,AYG3MF094634L,A1F4D2PZ7NNWTL,A3G7QIYLFOXFG7,AZOAW8JH5HJJK,A1Y3Z92RE62NPS,-0.885761995,TRUE
Wikipedia,89,560871,So how come he can have all types of slandereous links on his wiki page? Don't you think being an admin you should delete them?,So how come he can have all types of slandereous links on his wiki page? Don't you think being an admin you should delete them?,13,5,14,10,8,A1RPVYUPJZGM9Z,A199E33VY97TR,AYG3MF094634L,AO5E3LWBYM72K,A3MN5VOZFQPNZF,-0.893352475,TRUE
Wikipedia,90,4767,I noticed you removed Pero Defformero from the list of folk metal bands and artists. What is the problem with this band?,I noticed you removed Pero Defformero from the list of folk metal bands and artists. What is the problem with this band?,14,10,8,21,7,AW6UIL04MLQ9N,A21FGAQF6DQ9D9,A1BJTTNDDFZ3ZP,A2MWGIVIKOXWYM,A1F4D2PZ7NNWTL,-0.426832021,TRUE
Wikipedia,91,225961,"So, now that it's clear there's no moratorium, you now think it's controverial? Can you explain why?","So, now that it's clear there's no moratorium, you now think it's controverial? Can you explain why?",7,17,4,18,9,A1486XFUE4FA27,A21753FQKCM5DQ,A1FF4KWG1G44QE,AEYHIQUDWJ3KV,A34ZSF2JSRXIRP,-0.300217805,TRUE
Wikipedia,92,563575,&lt;name&gt- I don't know if you saw my reply on my talk page. Are you interested in being my mentor for the GU De-Ba'athification article?,<name>- I don't know if you saw my reply on my talk page. Are you interested in being my mentor for the GU De-Ba'athification article?,17,17,21,13,17,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A1YV1767FWKN3T,AIPK94CUWL45W,A19ZT0TQPFA2,0.564197517,TRUE
Wikipedia,93,582966,"My user page is semi-protected, and the vandals are blocked. Do you want to semi-protect my talk for me please?","My user page is semi-protected, and the vandals are blocked. Do you want to semi-protect my talk for me please?",17,17,16,9,13,A2UFD1I8ZO1V4G,A1T546143DSJDI,AYG3MF094634L,A2LQ33BQ8G259D,A1Y3Z92RE62NPS,0.120701665,TRUE
Wikipedia,94,344363,pls see my comments on your revert on the talk page. Perhaps you'll consider undoing my revert?,pls see my comments on your revert on the talk page. Perhaps you'll consider undoing my revert?,9,17,20,17,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A2QH1BQA6GR48O,A3IHLWMZNBLUR4,0.53316068,TRUE
Wikipedia,95,417587,"Also - for some reason images on image pages now appear in full size when I view them, rather than more convienient viewing sizes. Do you know how I can fix this?","Also - for some reason images on image pages now appear in full size when I view them, rather than more convienient viewing sizes. Do you know how I can fix this?",17,11,13,17,13,A233ONYNWKDIYF,AZN83WTGUR1JZ,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A29B522D0BX6HN,0.005333391,TRUE
Wikipedia,96,623354,The deletion review page linked above contains all the instructions for requesting a review. Why did you not read these instructions?,The deletion review page linked above contains all the instructions for requesting a review. Why did you not read these instructions?,3,9,5,5,12,A6YO9886DY2SC,A1T546143DSJDI,A3CFNUD7VR2E1E,A2LQ33BQ8G259D,A2UBXHCHM2I6IL,-1.40711343,TRUE
Wikipedia,97,21885,Interesting illustration on the PrIze law page of a Zeppelin taking a Norwegian vessel as a prize in 1917. I wonder whether you could point me to a source for more information on this incident?,Interesting illustration on the PrIze law page of a Zeppelin taking a Norwegian vessel as a prize in 1917. I wonder whether you could point me to a source for more information on this incident?,17,17,16,17,17,A233ONYNWKDIYF,A1TLLJDX8H4JP1,AC25X12LNYY6Y,A1F4D2PZ7NNWTL,AEYHIQUDWJ3KV,0.80063851,TRUE
Wikipedia,98,369400,"Your comment about ""the additions were left intact as a courtesy"" sounds a bit strange to me. Maybe you should read &lt;url&gt;?","Your comment about ""the additions were left intact as a courtesy"" sounds a bit strange to me. Maybe you should read <url>?",13,11,10,9,9,A2UFD1I8ZO1V4G,AYG3MF094634L,AO5E3LWBYM72K,A1RT9SQ9D9DLOV,AD1IH74UX9IAI,-1.187653929,TRUE
Wikipedia,99,611731,"Can I use a manga image colored by myself? There won't be any problems with the lisense, right?","Can I use a manga image colored by myself? There won't be any problems with the lisense, right?",17,17,16,17,17,AO3XB5I5QNNUI,A1ST1WRDA4ALST,A31RP7HI5172B,A13CO3B2BRXQLZ,A3SQ6ORWDN5BGZ,0.636410035,TRUE
Wikipedia,100,17795,"Hello, &lt;name&gt. Would you weigh in on the above linked discussion regarding an edit you made?","Hello, <name>. Would you weigh in on the above linked discussion regarding an edit you made?",17,17,17,17,17,A233ONYNWKDIYF,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A2QH1BQA6GR48O,A2AMGE57IJVSHF,0.719957088,TRUE
Wikipedia,101,579888,"Hi, I saw you protected &lt;url&gt; (&lt;url&gt;, &lt;url&gt;, &lt;url&gt;). In light of their signing to &lt;url&gt;, their &lt;url&gt;, &lt;url&gt;, and &lt;url&gt; &lt;url&gt; &lt;url&gt;, would you mind unprotecting it so I can give it a better treatment?","Hi, I saw you protected <url> (<url>, <url>, <url>). In light of their signing to <url>, their <url>, <url>, and <url> <url> <url>, would you mind unprotecting it so I can give it a better treatment?",18,13,13,16,13,AUJNGT4ODJ6TE,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,AIPXB863TARAK,0.266128084,TRUE
Wikipedia,102,139091,"Hello &lt;name&gt! If you have time, could you add a &lt;url&gt; infobox (with census data) for &lt;url&gt;?","Hello <name>! If you have time, could you add a <url> infobox (with census data) for <url>?",25,17,21,17,21,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,AIPK94CUWL45W,A3IHLWMZNBLUR4,1.406669499,TRUE
Wikipedia,103,345103,"Why tag for deletion? It was obviously a new user's attempt at creating a disambiguation page, why not clean it up?","Why tag for deletion? It was obviously a new user's attempt at creating a disambiguation page, why not clean it up?",9,5,5,9,5,A233ONYNWKDIYF,A2EJ6MKRFATU5I,AD317NO9623GZ,A3S5L3I8O3Q2G,A3IHLWMZNBLUR4,-1.460303679,TRUE
Wikipedia,104,83428,"Sorry, but i do not find ""double torpedo tunnels"" to be very good. Can you come up with something better?","Sorry, but i do not find ""double torpedo tunnels"" to be very good. Can you come up with something better?",9,16,9,13,5,A233ONYNWKDIYF,A1W2G1N4BDF2DW,AD317NO9623GZ,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,-0.532563119,TRUE
Wikipedia,105,193182,"Why the removal of the citation dealing with coriolis? Was the proof not within the citation, or was the citation not considered primary?","Why the removal of the citation dealing with coriolis? Was the proof not within the citation, or was the citation not considered primary?",13,9,17,13,17,AUJNGT4ODJ6TE,A3S5L3I8O3Q2G,A2EKTJWJGLWVWV,A2AMGE57IJVSHF,A1LO3ERNARW7Y4,-0.149291238,TRUE
Wikipedia,106,110401,Have you received the 1972 Encyclopedia of PNG you mentioned during the discussion about &lt;url&gt;? Was there a detailed entry for Dagora?,Have you received the 1972 Encyclopedia of PNG you mentioned during the discussion about <url>? Was there a detailed entry for Dagora?,13,13,17,10,13,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A14L1L022A4SG7,A3S5L3I8O3Q2G,-0.177223777,TRUE
Wikipedia,107,358145,"My page now has a template of ""multiple issues"", but I have put in several references, and there are links to other pages. What more should I do?","My page now has a template of ""multiple issues"", but I have put in several references, and there are links to other pages. What more should I do?",13,17,11,21,9,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A00613921OIEGJA322163,A2AMGE57IJVSHF,-0.126869072,TRUE
Wikipedia,108,624965,Do you feel that you've had success in forming consensus here within your knowledgebase? What do you feel are the underlying reasons behind your current ban from Wikipedia?,Do you feel that you've had success in forming consensus here within your knowledgebase? What do you feel are the underlying reasons behind your current ban from Wikipedia?,13,22,12,21,16,A233ONYNWKDIYF,A2MWGIVIKOXWYM,A1E0EK09CA5OIO,A38N58BSMTA0BE,AEYHIQUDWJ3KV,0.329523565,TRUE
Wikipedia,109,423536,"And what, may I ask, is ''your'' relationship to Hammersoft? How did you come upon this matter?","And what, may I ask, is ''your'' relationship to Hammersoft? How did you come upon this matter?",1,19,12,9,9,A1R4VG71V6XECZ,A2ULMYRKQMNNFG,A2UBXHCHM2I6IL,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,-0.825679108,TRUE
Wikipedia,110,626949,So far there are four editors on &lt;url&gt; who have called you on your edit-warring. Would you please stop?,So far there are four editors on <url> who have called you on your edit-warring. Would you please stop?,17,9,8,25,9,A1R4VG71V6XECZ,A2WKPCZU4U110T,A1BJTTNDDFZ3ZP,A3E157ZN8XPUKJ,A1RT9SQ9D9DLOV,-0.510874016,TRUE
Wikipedia,111,339977,"I have found a better citation for reference 7, but am not sure how to insert the page number (p. 97 from the book cited). Do you know the right format for this?","I have found a better citation for reference 7, but am not sure how to insert the page number (p. 97 from the book cited). Do you know the right format for this?",17,15,18,21,21,A2UFD1I8ZO1V4G,AYG3MF094634L,A3L8MJ1C4OEDGV,A3TFQK7QK8X6LM,AZ1RJVNOZFIWV,0.658334375,TRUE
Wikipedia,112,348668,I noticed you just removed this category from &lt;url&gt; and &lt;url&gt;. Why don't you think they qualify as historical films?,I noticed you just removed this category from <url> and <url>. Why don't you think they qualify as historical films?,9,13,17,13,12,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,AIPK94CUWL45W,-0.36714453,TRUE
Wikipedia,113,39729,"Could you do me a huge favour, but only if you want to, because I know it's a lot to ask. Could you do the Peer Review for ''Loud'' by any chance?","Could you do me a huge favour, but only if you want to, because I know it's a lot to ask. Could you do the Peer Review for ''Loud'' by any chance?",21,21,25,20,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A1YV1767FWKN3T,AIPK94CUWL45W,A19ZT0TQPFA2,1.838649445,TRUE
Wikipedia,114,578640,"Hi - I noticed the same, and was wondering how you do it! I've been trying to get &lt;url&gt; next to my name by default and I can't seem to manage it... any help?","Hi - I noticed the same, and was wondering how you do it! I've been trying to get <url> next to my name by default and I can't seem to manage it... any help?",17,13,18,16,13,A16PRU8T6NZLN5,A233ONYNWKDIYF,AW6UIL04MLQ9N,A2H8VMF0FQIFUM,A1DTQSIIYIZL62,0.131358249,TRUE
Wikipedia,115,421270,Are you saying that Racepacket attempted to contact Laura's employer? When and where did this happen?,Are you saying that Racepacket attempted to contact Laura's employer? When and where did this happen?,9,13,17,13,9,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A1YV1767FWKN3T,AIPK94CUWL45W,A19ZT0TQPFA2,-0.542153208,TRUE
Wikipedia,116,252731,"Hey, can you block this moron from editing the IIHF Page? Or what can i do in such cases?","Hey, can you block this moron from editing the IIHF Page? Or what can i do in such cases?",5,5,2,9,9,APMYUTI3V3Y6R,A2UFD1I8ZO1V4G,AD317NO9623GZ,ANVEDG15GV3QE,A3IHLWMZNBLUR4,-1.914914508,TRUE
Wikipedia,117,621898,You made three other edits to the &lt;url&gt; article on 25 November 2007. Can you explain why?,You made three other edits to the <url> article on 25 November 2007. Can you explain why?,11,21,25,12,9,A2YFPO0N4GIS25,A34A6MSJTD9A4L,A204JAK7QRDWVM,A1KC138MX47DXA,A13CO3B2BRXQLZ,-0.01249504,TRUE
Wikipedia,118,508961,"I hope I am now signed on and you remove the erroneous vandalism report. Don't you think it would be more politic to send a message with a question than to preemptorily declare an edit ""vandalism""?","I hope I am now signed on and you remove the erroneous vandalism report. Don't you think it would be more politic to send a message with a question than to preemptorily declare an edit ""vandalism""?",13,9,5,13,16,A1T5YMBH35PDBX,A233ONYNWKDIYF,AI4WWBB2PNCKH,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,-0.642454606,TRUE
Wikipedia,119,600763,We are working on adding some information regarding the significance of the podcast. Do you have any additional tips on improving out article's quality?,We are working on adding some information regarding the significance of the podcast. Do you have any additional tips on improving out article's quality?,17,25,17,17,17,A2UFD1I8ZO1V4G,A1UEZLJ583HSV5,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,AIPK94CUWL45W,0.800652708,TRUE
Wikipedia,120,621527,I will endeavour to be (cant think of antonyms) non-combative and kind. Will you give me a particular example of what I wrote and what I should have written?,I will endeavour to be (cant think of antonyms) non-combative and kind. Will you give me a particular example of what I wrote and what I should have written?,17,17,17,10,16,A233ONYNWKDIYF,A2X9AEDAHF7O7S,AYG3MF094634L,A1F4D2PZ7NNWTL,AZOAW8JH5HJJK,0.392348057,TRUE
Wikipedia,121,39531,Unfortunately the 4chan page you linked to in &lt;url&gt; does not exist now. Can you give a pointer to what is involved?,Unfortunately the 4chan page you linked to in <url> does not exist now. Can you give a pointer to what is involved?,13,20,15,17,13,A233ONYNWKDIYF,A6YO9886DY2SC,A3EJ5TT2ZGBIDA,A1DTQSIIYIZL62,A1Y3Z92RE62NPS,0.412982382,TRUE
Wikipedia,122,532974,"You removed the border issue coverage in &lt;url&gt;, and your explanation was that it's covered in another article. Where is it covered?","You removed the border issue coverage in <url>, and your explanation was that it's covered in another article. Where is it covered?",14,9,13,8,9,A1T5YMBH35PDBX,AO3XB5I5QNNUI,A31RP7HI5172B,A3SQ6ORWDN5BGZ,AMSWIR4J9XEIJ,-0.682148724,TRUE
Wikipedia,123,339348,"All the images are on the right side, which means they sometime clash and push the text away from itself. Have you considered moving some images to the left to stop this?","All the images are on the right side, which means they sometime clash and push the text away from itself. Have you considered moving some images to the left to stop this?",9,13,21,17,21,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A19ZT0TQPFA2,0.426884317,TRUE
Wikipedia,124,136176,"Hi, I just couldn't understand &lt;url&gt; ! Could you explain,please ?","Hi, I just couldn't understand <url> ! Could you explain,please ?",17,17,21,17,25,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A00613921OIEGJA322163,AIPK94CUWL45W,A19ZT0TQPFA2,1.075604363,TRUE
Wikipedia,125,442925,Why on earth have you deleted the article on the &lt;url&gt;? Can you please undelete it?,Why on earth have you deleted the article on the <url>? Can you please undelete it?,9,17,8,5,9,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A3GOI327COFGY5,ANVEDG15GV3QE,-1.003427924,TRUE
Wikipedia,126,566998,"He's still at it, and stating that we can't stop him as he has not got a static IP. Can you at least block him for now?","He's still at it, and stating that we can't stop him as he has not got a static IP. Can you at least block him for now?",17,14,5,16,13,ANMGOZ451W9ZN,AYG3MF094634L,AFFSRVGKGJR00,A1F4D2PZ7NNWTL,A1DTQSIIYIZL62,-0.154574287,TRUE
Wikipedia,127,626970,"If it's not clear, I am asking for a '''quote from your source''' which supports the statement which you inserted into the article with your reference. Can you please supply a quote?","If it's not clear, I am asking for a '''quote from your source''' which supports the statement which you inserted into the article with your reference. Can you please supply a quote?",12,15,17,16,8,A36UK50UE5YFVZ,A3LXBP8T6JMY9B,A2UBXHCHM2I6IL,A38WUWONC7EXTO,A1F4D2PZ7NNWTL,-0.149874468,TRUE
Wikipedia,128,517632,"Are you there? I just posted YAP, Yet Another Plea, on &lt;url&gt;, might you wish to pitch in with something technical or at least magisterial?","Are you there? I just posted YAP, Yet Another Plea, on <url>, might you wish to pitch in with something technical or at least magisterial?",17,17,13,9,9,A233ONYNWKDIYF,APDWVWS2HMSFD,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A3IHLWMZNBLUR4,-0.054131891,TRUE
Wikipedia,129,553188,"This page is new, the result of a move - the page it moved from is now a redirect to &lt;url&gt;, but the history which goes with it is at the page I asked to be deleted. Can you delete the page, while copying the history over to the article?","This page is new, the result of a move - the page it moved from is now a redirect to <url>, but the history which goes with it is at the page I asked to be deleted. Can you delete the page, while copying the history over to the article?",17,13,13,21,15,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A00613921OIEGJA322163,AIPK94CUWL45W,0.168019689,TRUE
Wikipedia,130,423432,"Sorry, I've moved a number of articles and thought I did it correctly. How is moving done properly without losing the edit history?","Sorry, I've moved a number of articles and thought I did it correctly. How is moving done properly without losing the edit history?",17,19,17,15,21,A2UFD1I8ZO1V4G,A6YO9886DY2SC,A1KC138MX47DXA,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,0.868239736,TRUE
Wikipedia,131,323592,"I've just seen your message on my Talk page. Why do you want the disambiguation page to be the one that doesn't say ""disambiguation""?","I've just seen your message on my Talk page. Why do you want the disambiguation page to be the one that doesn't say ""disambiguation""?",9,13,13,11,13,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A2QH1BQA6GR48O,AIPK94CUWL45W,-0.584279668,TRUE
Wikipedia,132,299306,"Sorry, its not immeadiately obvious why thats a revert. Can you clarify?","Sorry, its not immeadiately obvious why thats a revert. Can you clarify?",17,16,17,21,13,A233ONYNWKDIYF,ARYGQ46IMW8AU,A1F4D2PZ7NNWTL,A3TFQK7QK8X6LM,A1DTQSIIYIZL62,0.506406619,TRUE
Wikipedia,133,199732,"No more saga! Help me by keeping this page the way it is right now, alright?","No more saga! Help me by keeping this page the way it is right now, alright?",9,5,1,18,13,A3S5L3I8O3Q2G,A3HB9PPUZU565U,A1G8ATI1XR2HWT,A2GODV4YZGD8X9,AIPK94CUWL45W,-0.926028867,TRUE
Wikipedia,134,196952,"While editing the COIN page regarding Ciplex, I accidently broke your sig. Since I don't want any more flame, could you please fix it?","While editing the COIN page regarding Ciplex, I accidently broke your sig. Since I don't want any more flame, could you please fix it?",21,21,14,17,19,A1T5YMBH35PDBX,A233ONYNWKDIYF,AI4WWBB2PNCKH,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,1.102925698,TRUE
Wikipedia,135,623240,"I'm going to have to say that a ""Socionics Institute"" is not going to cut it as a reliable source for notability. Can you come up with a third party?","I'm going to have to say that a ""Socionics Institute"" is not going to cut it as a reliable source for notability. Can you come up with a third party?",17,4,25,9,17,A233ONYNWKDIYF,A3MN5VOZFQPNZF,A3E157ZN8XPUKJ,A26NYABOD7YBW8,A38WUWONC7EXTO,0.012751135,TRUE
Wikipedia,136,619890,I don't see the vandalism. Could you show me where it is?,I don't see the vandalism. Could you show me where it is?,13,13,17,12,17,ANMGOZ451W9ZN,A1QV3X9YMQQ3OQ,AVV4KDLSDAS9E,A2LQ33BQ8G259D,A3FGBGZ4RKH712,0.104518306,TRUE
Wikipedia,137,493880,Without information about the source and whether it's a free use or fair use picture it can't be used under the Wikipedia rules. Do you have this information?,Without information about the source and whether it's a free use or fair use picture it can't be used under the Wikipedia rules. Do you have this information?,13,13,15,13,18,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2QN0EGBRGJU1M,AYG3MF094634L,A1F4D2PZ7NNWTL,-0.092315452,TRUE
Wikipedia,138,629786,"And NO Igor, discuss edits with ME please. Are you proposing to discard the mentorship agreement?","And NO Igor, discuss edits with ME please. Are you proposing to discard the mentorship agreement?",13,13,13,13,10,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A1DTQSIIYIZL62,A38N58BSMTA0BE,-0.402731087,TRUE
Wikipedia,139,627434,I see that you have made an edit to another page since posting the request for IP block exemption. Does that mean the block is no longer in force?,I see that you have made an edit to another page since posting the request for IP block exemption. Does that mean the block is no longer in force?,13,11,17,8,16,AD8ZUKPJT9E6,A21753FQKCM5DQ,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A38N58BSMTA0BE,-0.310072263,TRUE
Wikipedia,140,576930,&lt;url&gt; is currently an orphaned article. Can you find some articles to link to 'Christa Behmenburg''?,<url> is currently an orphaned article. Can you find some articles to link to 'Christa Behmenburg''?,14,18,21,16,14,AW6UIL04MLQ9N,AO5E3LWBYM72K,A3E157ZN8XPUKJ,AVHARSCRX7M9E,A1E0EK09CA5OIO,0.18039309,TRUE
Wikipedia,141,621082,Why would you doubt that. And for that matter why wouldn't you rewrite it yourself?,Why would you doubt that. And for that matter why wouldn't you rewrite it yourself?,5,2,5,4,8,A233ONYNWKDIYF,A2QN0EGBRGJU1M,A3CA5S8GR8TZ1U,A1BJTTNDDFZ3ZP,A1F4D2PZ7NNWTL,-1.819553424,TRUE
Wikipedia,142,305475,"Hey, I noticed you protected the article &lt;url&gt; from being recreated. Will you be able to reverse that If I recreate the article with sourced, factual, real world content?","Hey, I noticed you protected the article <url> from being recreated. Will you be able to reverse that If I recreate the article with sourced, factual, real world content?",17,21,9,15,16,A233ONYNWKDIYF,APDWVWS2HMSFD,AD317NO9623GZ,A28TXBSZPWMEU9,AIPK94CUWL45W,0.38662343,TRUE
Wikipedia,143,620208,I thought I'd asked you nicely on &lt;url&gt; not to make further attempts at getting your point into the article without trying to find consensus. Could you please address my points on the talkpage before having further tries in the article itself?,I thought I'd asked you nicely on <url> not to make further attempts at getting your point into the article without trying to find consensus. Could you please address my points on the talkpage before having further tries in the article itself?,15,17,14,15,10,AYG3MF094634L,A2JG59YYWBBC5C,A1E0EK09CA5OIO,A1F4D2PZ7NNWTL,A2JKFTV0JXWMI6,0.003345024,TRUE
Wikipedia,144,529277,Update is four hours late. Any chance you could post it?,Update is four hours late. Any chance you could post it?,9,17,17,9,13,A1T5YMBH35PDBX,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,ANVEDG15GV3QE,AIPK94CUWL45W,-0.280578315,TRUE
Wikipedia,145,288161,I've now supplied a free image on &lt;url&gt; (thanks for motivating me to do so!). Could you perhaps consider your reassessment of the article?,I've now supplied a free image on <url> (thanks for motivating me to do so!). Could you perhaps consider your reassessment of the article?,13,17,17,12,17,A22SZHZTF72TRM,AYG3MF094634L,A2LQ33BQ8G259D,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,0.496707087,TRUE
Wikipedia,146,607362,"Email checked and responded to. If you can't respond here, could you at least leave me a note to check my email?","Email checked and responded to. If you can't respond here, could you at least leave me a note to check my email?",18,12,5,9,10,AS8T4IKYL4V7F,AMJAP6BGF5LVM,A302M81U0HM7RJ,A872FSFU7WV6W,A2WZQ92N4809N1,-0.911159791,TRUE
