Num,Id,Request#,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,EN_10,EN_20,EN_30,EN_40,EN_50,EN_60,EN_70,EN_80,EN_90,EN_100,EN_110,EN_120,EN_130,EN_140,EN_150,EN_160,EN_170,EN_180,EN_190,EN_200,EN_210,EN_220,EN_230,EN_240,EN_250,EN_260,EN_270,EN_280,EN_290,EN_300,EN_310,EN_320,EN_330,EN_340,EN_350,CH_10,CH_20,CH_30,CH_40,CH_50,CH_60,CH_70,CH_80,CH_90,CH_100,CH_110,CH_120,CH_130,CH_140,CH_150,CH_160,CH_170,CH_180,CH_190,CH_200,CH_210,CH_220,CH_230,CH_240,CH_250,CH_260,CH_270,CH_280,CH_290,CH_300,CH_310,CH_320,CH_330,EN100,EN200,EN300,EN400,EN500,EN600,EN700,EN800,EN900,EN1000,EN1100,EN1200,EN1300,EN1400,EN1500,EN1600,EN1700,EN1800,EN1900,EN2000,EN2100,EN2200,EN2300,EN2400,CH100,CH200,CH300,CH400,CH500,CH600,CH700,CH800,CH900,CH1000,CH1100,CH1200,CH1300,CH1400,CH1500,CH1600,CH1700,CH1800,CH1900,CH2000,CH2100,CH2200,CH2300,CH2400,CH2500,CH2600,CH2700
139,607112,"It's probably a bit late to be asking this, but why did you dispute the factual accuracy of the page <url>? Also, why was no mention of the nature of the dispute made anywhere?#",-2,,,,-3,,,,,,-7,,,0,,-2,,,,0,5,,,3,,,,,0,,,-3,,,,0,,,,,3,,,-6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,619630,"Do you know how to make the 'All Star Template' appear only at the bottom, as well as the 'Confirmed future sites', so the actual table appears at the top of the page??#",5,,,,2,,,,,,2,,,8,,-5,,,,0,3,,,4,,,,,0,,,0,,,,0,,,,,3,,,3,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,522923,"Just letting you know (since you have mentioned AFDing <url>) that weu2019ve gone to some effort to establish notability with <url>, and have added three reliable, notable, third-party sources to the article. Do you feel these sources establish <url> as being notable (<url> and all that)?#",4,,,0,,,-5,,,,,9,,,7,,,,,,,,7,,,5,,,,,0,,,,2,,,,,1,,5,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,164112,"Hi, you've done a lot of work on comparing Featured Article country articles. Are you aware of any country that got special praise for the selection of images in the article?#",4,,,5,,,1,,,,,11,,,12,,,2,,,,,6,,,2,,,,,4,,,,3,,,,,4,,3,,,,0,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,627346,"One wonders, of course, who ""Elliott of Macedon"" would have been. Probably something analogous to Brian of Nazareth but in a Macedonian phalanx?#",0,,,0,,,0,,,,,0,,,9,,,-2,,,,,2,,,0,,,,,5,,,,-1,,,,,6,,3,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,630160,"SO!?!?'', what has it got to do with you?#",,-12,,,-10,,,-5,,,,,-9,,,-11,,,-12,,,,,-8,,,-7,,,,,5,,,,2,,,,,5,,-9,,,,-3,,,,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,559372,how do i propose to change the name of <url> to <url> ??#,0,,,-2,,,-2,,,,,0,,,8,,,-1,,,,,5,,,4,,,,,3,,,,-3,,,,,5,,0,,,,0,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,623158,"Deletion requires some care: an administrator has to check that the prod tag has been on the article for 5 day continously, that the prod'ed version was not the result of vandalism, that the prod reason is acceptable (possibly checking the talk page), then has to delete the article reporting this reason, possibly deleting the talk page, and finally checking the incoming links. Before starting doing this on every article in the category this adimin relies on the number of categories instead of calculating five days to today?#",1,,,-2,,,-1,,,,,,,,8,,,,,,,,0,,,,,,,,5,,,,0,,,,,6,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,502036,"Is 10 months sufficient time to relist a Article for deletion Not too soon, correct?#",-1,,,-3,,,-2,,,,,4,,,11,,,0,,,,,-2,,,3,,,,,7,,,,1,,,,,6,,2,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,41079,Is Castle Donington an incorporate municipality? Or is it just a place name?#,0,,,1,,,-2,,,,,2,,,9,,,2,,,,,-3,,,0,,,,,1,,,,2,,,,,4,,0,,,,0,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,415277,Sorry for not replying sooner. What would you like done with your page?#,12,,,6,,,0,,,,,12,,,12,,,7,,,,,4,,,5,,,,,7,,,,3,,,,,6,,8,,,,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,125539,"I am in the process of responding to your message on my talk page. In the mean time, did Lochdale ever inadvertently expose his IP, such as editing while logged out and then logging in and signing?#",4,,,-1,,,0,,,,,2,,,8,,,-3,,,,,-2,,,6,,,,,7,,,,1,,,,,5,,2,,,,0,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,432640,"Hi, I tweaked it again. Could you check please?#",,3,,,2,,-4,,,3,,,4,,,,,,8,5,,,,,3,,,,,6,,,,,,,3,,12,,,,9,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,255097,"To be quite frank it doesn't matter that the quotes don't appear any other place on the internet, the point is that they violate policy by being here and you could always set up a personal website to host them where all you'd have to worry about is fair use and not Wikipedia's stricter requirements. Are there more of these quote/source pages than <url>, <url> and <url>?#",-4,,,-4,,-6,,,-3,,,-3,,,,,,-4,0,,,,,1,,,,,-2,,,,,,,1,,7,,,,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,565696,Oh dear. Does that mean it's too difficult a read for Wiki?#,-1,,,5,,0,,,5,,,4,,,,,,5,3,,,,,3,,,,,0,,,,,,,3,,0,,,,0,,,,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,620540,"Oh, yeah, I've heard of that--that was the issue the Colonel was (incorrectly) alluding to, right? Is that list to which your link sent me something that Steve had to create, or was it generated automatically?#",-2,,,0,,0,,,1,,,-2,,,,,,2,1,,,,,-1,,,,,3,,,,,,,1,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,237753,"I'm wondering why in the <url> article, you keep changing the link <url> to <url> which just redirects to <url>? Why not just leave the link to point to the intended article directy?#",-3,,,-3,,-2,,,-5,,,-9,,,,,,2,0,,,,,2,,,,,3,,,,,,,-1,,-12,,,,-1,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,589985,"PS I also am wondering about the letter ""ll"". It seems, like the Welsh <url>, to have a particular (and tricky) pronunciation, but thereu2019s nothing on the <url> or <url> pages about it: Can you shed any light on this?#",3,,,-3,,0,,,0,,,6,,,,,,11,3,,,,,7,,,,,0,,,,,,,4,,-1,,,,-1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,473852,"More a bot to flag articles where persondata and defaultsort disagree, so that humans can check which is correct. I presume your bot already detects cases where DEFAULTSORT and listas disagree?#",-3,,,0,,-2,,,1,,,-2,,,,,,0,0,,,,,-1,,,,,0,,,,,,,1,,-3,,,,-2,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,619643,Really? When/where did that happen?#,,,0,,,0,,-3,,,0,,,0,,,,,,0,1,,,,,0,,,,,0,,,,,,,0,,0,,,,-1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,196201,The <url> disambiguation page seems to be a model for collecting the related entries for IOOF buildings in a single place. Do you agree?#,3,,,3,,0,,,0,,,0,,,,,,11,3,,,,,4,,,,,0,,,,,,,2,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,564946,"Hi there, I've raised the possibility of unprotecting the tamazepam page <url>. What are your thoughts?#",6,,,5,,0,,,4,,,8,,,,,,12,4,,,,,3,,,,,2,,,,,,,3,,0,,,,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,291631,"Also, how does that vandalism thing on your page work? Do you have to change the count manually, or does it detect vandalism itself?#",0,,,,,1,,,,-3,,,0,,,,-1,,,-1,,0,,,,,,,3,,2,,,,,,,-1,,,6,,,,,,-9,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,620910,"Thanks, can we write an article on that ? do you think it is notable enough ?#",-2,,,,,4,,,,9,,,6,,,,2,,,2,,10,,,,,,,4,,12,,,,,,,1,,,12,,,,,,3,,,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,262902,Why haven't you submitted the diet to Good Article? And when are you going for Featured Article candidates?#,-8,,,,,-5,,,,-11,,,-4,,,,-2,,,-3,,-1,,,,,,,-4,,-12,,,,,,,-3,,,-9,,,,,,-6,,,-3,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,624484,"Where is the exception in <url> for ""tossing out citations and verifiable in order to make it easier for the reader""? Who are you to disagree with Nikon's label of ""Compact Professional""?#",-12,,,,,-7,,,,-12,,,-2,,,,-8,,,-7,,-11,,,,,,,-8,,-8,,,,,,,2,,,-12,,,,,,0,,,0,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,620852,Thanks! =D And how soon are we going to try to get The Lost Age to Featured Article?#,4,,,,,-3,,,,4,,,7,,,,3,,,2,,7,,,,,,,6,,2,,,,,,,4,,,9,,,,,,12,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,577073,"I am doing stub cleaning and consolidation that is needed to reduce the incidence of tiny articles. For instance, did you know that the Luis Rodriguez article was linked to by a music producer, two boxers and a singer?#",-1,,,,,5,,,,1,,,-3,,,,1,,,0,,3,,,,,,,2,,0,,,,,,,4,,,6,,,,,,-3,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,215843,"I didn't remove the image; I just moved it down to the bottom of the box, to avoid having a long stack of images at the top. Is that a problem?#",-7,,,,,6,,,,-9,,,2,,,,-1,,,-4,,-1,,,,,,,-4,,-12,,,,,,,1,,,6,,,,,,-6,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,629841,Is there any way I could talk you into being more conservative with creation of new articles? Do you agree that some of what you're creating here would be seen as obviously deletable material by most editors?#,-10,,,,,-8,,,,-3,,,3,,,,-1,,,-7,,-10,,,,,,,-7,,12,,,,,,,-1,,,12,,,,,,-5,,,2,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,612483,"I still prefer Huxley's version, as I don't think that version makes the dying off clear, and ignores the r-type organism analogue. Is there any way to work more emphasis into the dying off part in, as it's absolutely crucial to the removal of unfit forms?#",-6,,,,,3,,,,0,,,0,,,,0,,,0,,2,,,,,,,2,,10,,,,,,,3,,,-6,,,,,,9,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,554731,"By chance, I have indef blocked <person> over your 31-hour block. Would you like me to keep indef block or change it back to 31 hours?#",-2,,,,,-5,,,,0,,,-1,,,,0,,,3,,3,,,,,,,3,,11,,,,,,,-1,,,6,,,,,,0,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,83784,"OK, the 3920th is done. Any further thoughts?#",3,,,,,,,,,,1,,,,12,,1,,,2,,0,,6,,,,6,,,,,,-7,,,,,0,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,384811,"Yobot labelled <url> as a stub, though it has <person>. Perhaps that's a dab template Yobot doesn't know about?#",2,,,,,,,,,,4,,,,9,,2,,,1,,2,,2,,,,9,,,,,,-5,,,,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,508269,"...why not try something a bit more proactive? Now, obviously he's using proxies, but are there no rangeblocks that might make his job harder?#",-2,,,,,,,,,,-1,,,,6,,-5,,,2,,4,,-3,,,,-7,,,,,,-3,,,,,-7,,,,-9,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,328920,The copyediting is being done as I speak. Anything else you can think of?#,5,,,,,,,,,,7,,,,12,,3,,,1,,9,,2,,,,0,,,,,,-2,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,594145,thank you. any clue what happened?#,,12,,,,,,,,,,6,,,,10,,2,,,3,,0,,6,,,,2,,,,,,1,,,,,6,,,,6,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,542963,"See: <url>. If I remember correctly, you said you planned on cleaning up after the bot tagged the images; is that still the case?#",9,,,,,,,,,,-1,,,,8,,-1,,,3,,4,,-1,,,,6,,,,,,-3,,,,,0,,,,-3,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,133725,"I don't think I've used it in Wikipedia. So, if I haven't, why did you bring it up?#",-5,,,,,,,,,,-8,,,,3,,-5,,,-3,,0,,-4,,,,-7,,,,,,-6,,,,,-12,,,,-11,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,355457,"Some pictures are not mine, but those that I have changed, their own. And you can submit a complaint the owners of those photos?#",0,,,,,,,,,,0,,,,2,,-5,,,,,1,,-2,,,,,,,,,,-3,,,,,-10,,,,-6,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,496654,"When I find 20 sources calling an Individual Armenian including TURKISH, the NYT and Time's article are presented in a dubious manner, how can I bey considered aggressive? It is the duty of every editor and admin to weed out Original research and dubious citations, no?#",-4,,,,,,,,,,-4,,,,3,,-2,,,0,,2,,-4,,,,-8,,,,,,-1,,,,,-10,,,,-10,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,567951,Are you calling me a vandal for visiting your user page? Or am I just <url>?#,-5,,,,,,,,,,-8,,,,1,,-2,,,0,,2,,-4,,,,-8,,,,,,-6,,,,,-6,,,,-10,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,34411,I was thinking about creating a page about Nintendo eShop. And since you are a well trusted user I am asking you if you think that would just be deleted because there isn't enough information?#,6,1,,,,12,,,,,1,,,0,,,,3,,,,10,,,,,4,,,,,,,4,,9,,,,3,,,,2,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,381792,It is an obvious and strongly followed point that april fools jokes ''should not disrupt the running of the wiki''. Could you explain why the HELLS you coated a dozen users' pages with pictures of jimbo's ugly bearded fizzogg?#,-11,-9,,,,-2,,,,,-12,,,0,,,,-6,,,,-11,,,,,0,,,,,,,-4,,-12,,,,3,,,,2,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,141067,There is a special tool which shows you page sizes? Would you like to know how to use it?#,10,,,,,,10,3,,,,6,,,,,0,,,-1,,,,4,,,,-11,,,,,-2,,,,,,,5,,12,,,,5,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,258490,"Your <url> is a brilliant idea! Would you mind if I linked to it from my collection of ""Useful things"" on my user page?#",12,,,,,,12,7,,,,12,,,,,12,,,3,,,,5,,,,12,,,,,4,,,,,,,12,,12,,,,5,,,,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,280419,"See the page <url>, and in particular the section <url>. Does that make sense?#",-6,,,,,,1,5,,,,7,,,,,0,,,1,,,,0,,,,-1,,,,,-3,,,,,,,-7,,-8,,,,1,,,,0,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,625663,"Thank you for your comments. May I refer you to <url>, where I think you will find the sort of criticism section that you are looking for?#",12,,,,,,12,7,,,,5,,,,,11,,,-1,,,,4,,,,6,,,,,4,,,,,,,4,,9,,,,7,,,,4,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,563491,"The Hitchin-related hoax claims by <url> seem to have led to a rather precipitate response, considering that he has only been an editor for a few days. Is there something going on here that isn't obvious?#",-5,,,,,,0,0,,,,3,,,,,-7,,,0,,,,0,,,,1,,,,,0,,,,,,,0,,-4,,,,4,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,163563,Hello im trying to make a task force for the Empire of Brazil with some people but we dont know how to make the actually task force stuff like the banner and how to make the quality chart template to see what class each article is. Im asking if you can help make it since i saw you made WikiProject Dam?#,5,,,,,,7,1,,,,12,,,,,-3,,,1,,,,2,,,,6,,,,,0,,,,,,,4,,5,,,,0,,,,0,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,358625,I can't find anything about Crimson Echoes' Gameplay. Do you think that its good as it is?#,0,,,,,,1,3,,,,8,,,,,-3,,,-2,,,,1,,,,-3,,,,,3,,,,,,,-2,,-2,,,,2,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,380241,"Sorry <name>, but I don't understand. Even if your man didn't meet <url>, how could he fail to meet <url>?#",-2,,,,,,-9,-4,,,,8,,,,,-9,,,3,,,,2,,,,-4,,,,,-3,,,,,,,-7,,-6,,,,3,,,,0,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,214946,"Hey, several of the footnotes that you use in <url> are Harvard footnotes, which means that they need the full citation of the books in works cited section. I imagine you grabbed some of that information from some other places, would you mind retriveing the bibliographic data?#",6,4,,,,,10,4,,,,8,,,-3,,,,,2,,,,,-3,,,4,,2,,,,,6,,,,1,,,,,3,,,2,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
