Community,Num,Num,Id,Request,Type,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27
Wikipedia,115,715,69540,I believe I may have addressed (at least a substantial portion of) your comments. Could you weigh in again?,Highlight,,,"15: Could,16: you,17: weigh,18: in,19: again?","1: I,2: believe,3: I,5: have,7: (at,8: least,15: Could,16: you",,,,,,15: Could,,,,,,,"1: I,2: believe,15: Could,16: you,19: again?",17: weigh,,,,,"1: I,2: believe","1: I,2: believe,3: I,4: may,15: Could,16: you",,15: Could,,,"15: Could,16: you,17: weigh,18: in,19: again?",,,,,"15: Could,16: you,17: weigh,18: in,19: again?","7: (at,8: least,9: a,10: substantial,11: portion,12: of)",,"15: Could,16: you",,,,,,,"2: believe,6: addressed","15: Could,16: you,17: weigh,18: in,19: again?",,,,,,"1: I,2: believe,3: I,4: may,15: Could,16: you"
Wikipedia,116,716,391245,"My concern about the article above still stands (re: notability). Now that it has been unmerged (against the Article for Deletion), will it be merged into the Begin articles as suggested, or will it have to be renominated?",Rating,,,0,1,,,,,,3,,,,,,,2,-2,,,,,5,0,,0,,,0,,,,,9,3,,0,,,,,,,0,1,,,,,,-2
Wikipedia,116,716,391245,"My concern about the article above still stands (re: notability). Now that it has been unmerged (against the Article for Deletion), will it be merged into the Begin articles as suggested, or will it have to be renominated?",Highlight,,,"2: concern,3: about,4: the,5: article,6: above,7: still,8: stands,9: (re:,10: notability).,11: Now,12: that,13: it,14: has,15: been,16: unmerged,17: (against,18: the,19: Article,20: for,21: Deletion),,22: will,23: it,24: be,25: merged,26: into,27: the,28: Begin,29: articles,30: as,31: suggested,,32: or,33: will,34: it,35: have,36: to,37: be,38: renominated?","1: My,2: concern,7: still,8: stands",,,,,,2: concern,,,,,,,"1: My,2: concern,32: or","2: concern,38: renominated?",,,,,"1: My,2: concern,7: still,8: stands,32: or,33: will,35: have,36: to,37: be,38: renominated?","7: still,8: stands,22: will,23: it,32: or,33: will,34: it",,"2: concern,22: will,33: will",,,"22: will,23: it,33: will,34: it,35: have",,,,,"22: will,32: or","33: will,34: it,35: have,36: to,37: be,38: renominated?",,"1: My,2: concern",,,,,,,"1: My,2: concern,38: renominated?","1: My,2: concern,22: will,23: it,32: or,33: will,34: it",,,,,,"11: Now,12: that,22: will,23: it,24: be,33: will,34: it,35: have,36: to,37: be"
Wikipedia,117,717,559053,The block you created on April 18th has expired and a new rash of vandalism has broken out. Would you mind blocking this school for even longer than 1 month?,Rating,,,1,2,,,,,,6,,,,,,,2,-2,,,,,1,2,,2,,,0,,,,,8,2,,8,,,,,,,2,2,,,,,,7
Wikipedia,117,717,559053,The block you created on April 18th has expired and a new rash of vandalism has broken out. Would you mind blocking this school for even longer than 1 month?,Highlight,,,"19: Would,20: you,21: mind","19: Would,20: you,21: mind",,,,,,"19: Would,20: you,21: mind",,,,,,,"19: Would,20: you,21: mind",21: mind,,,,,"26: even,27: longer","3: you,4: created,19: Would,20: you,21: mind,26: even",,"19: Would,21: mind",,,"19: Would,20: you,21: mind,22: blocking",,,,,"19: Would,20: you,21: mind","19: Would,20: you,21: mind,22: blocking,23: this,24: school,25: for,26: even,27: longer,28: than,29: 1,30: month?",,"19: Would,20: you,21: mind",,,,,,,"19: Would,20: you,21: mind,27: longer,28: than","19: Would,20: you,21: mind",,,,,,"19: Would,20: you,21: mind"
Wikipedia,118,718,496173,"It would seem to me that this category provides no overall benefit to wiki and only serves as another list of organizations which seem to be targeted by the generally negative tone of LGAT articles. Would it make more sense, or be more proper, to include the relevant categories on the individual articles themselves, rather than have an LGAT category?",Rating,,,3,3,,,,,,7,,,,,,,2,-5,,,,,-5,2,,8,,,2,,,,,8,4,,6,,,,,,,1,1,,,,,,12
Wikipedia,118,718,496173,"It would seem to me that this category provides no overall benefit to wiki and only serves as another list of organizations which seem to be targeted by the generally negative tone of LGAT articles. Would it make more sense, or be more proper, to include the relevant categories on the individual articles themselves, rather than have an LGAT category?",Highlight,,,"36: Would,37: it,38: make,39: more,40: sense,,41: or,42: be,43: more,44: proper,","3: seem,4: to,5: me,9: provides,10: no,11: overall,12: benefit,16: only,36: Would,37: it,39: more,40: sense,,43: more,44: proper,,55: rather,56: than",,,,,,"3: seem,11: overall,12: benefit,13: to,14: wiki,15: and,16: only,17: serves,18: as,19: another,20: list,21: of,22: organizations,23: which",,,,,,,"2: would,3: seem,4: to,5: me,10: no,11: overall,12: benefit,36: Would,37: it,38: make,39: more,40: sense,,41: or,42: be,43: more,44: proper,","10: no,12: benefit",,,,,"3: seem,4: to,5: me,9: provides,10: no,12: benefit,48: relevant","1: It,2: would,3: seem,4: to,5: me,36: Would,37: it",,"2: would,36: Would,39: more,41: or,42: be,43: more,44: proper,",,,"2: would,3: seem,4: to,5: me,36: Would,37: it,38: make",,,,,"36: Would,37: it,38: make,41: or,42: be","36: Would,37: it,38: make,39: more,40: sense,,41: or,42: be,43: more,44: proper,",,"36: Would,37: it",,,,,,,"1: It,2: would,3: seem,4: to,5: me","1: It,2: would,3: seem,4: to,5: me,6: that,36: Would,37: it,38: make,39: more,40: sense,",,,,,,"1: It,2: would,3: seem,4: to,5: me,6: that,36: Would,37: it,38: make,39: more,40: sense,,41: or,42: be,43: more,44: proper,,45: to"
Wikipedia,119,719,414825,Seems to be down again. I assume this is nothing I can resurrect on my own when you have intermittent Internet access like this?,Rating,,,-3,0,,,,,,6,,,,,,,0,-1,,,,,-4,-5,,-1,,,-3,,,,,,-1,,-1,,,,,,,2,1,,,,,,-7
Wikipedia,119,719,414825,Seems to be down again. I assume this is nothing I can resurrect on my own when you have intermittent Internet access like this?,Highlight,,,"6: I,7: assume,8: this,9: is,10: nothing,11: I,12: can,13: resurrect,14: on,15: my,16: own,17: when,18: you,19: have,20: intermittent,21: Internet,22: access,23: like,24: this?","5: again.,6: I,7: assume,17: when,18: you,19: have",,,,,,13: resurrect,,,,,,,"6: I,7: assume,17: when,18: you,19: have,20: intermittent,21: Internet,22: access,23: like,24: this?",4: down,,,,,"18: you,19: have,20: intermittent,21: Internet,22: access","6: I,7: assume,10: nothing,11: I,12: can,13: resurrect,14: on,15: my,16: own,17: when,18: you,19: have,20: intermittent,21: Internet,22: access",,10: nothing,,,"6: I,7: assume,8: this,17: when,18: you,19: have",,,,,"1: Seems,2: to,3: be,4: down,5: again.","7: assume,20: intermittent,21: Internet,22: access,23: like,24: this?",,"6: I,7: assume",,,,,,,"1: Seems,13: resurrect,20: intermittent","6: I,7: assume",,,,,,"6: I,7: assume,17: when,18: you,19: have,20: intermittent"
Wikipedia,120,720,232433,It should be deleted. Do you want to nominate it or should I?,Rating,,,-2,4,,,,,,-3,,,,,,,4,-2,,,,,9,-2,,0,,,0,,,,,0,0,,9,,,,,,,0,0,,,,,,-6
Wikipedia,120,720,232433,It should be deleted. Do you want to nominate it or should I?,Highlight,,,"1: It,2: should,3: be,4: deleted.","5: Do,6: you,11: or,12: should,13: I?",,,,,,"5: Do,6: you,7: want",,,,,,,"5: Do,6: you,7: want,8: to,11: or,12: should,13: I?",4: deleted.,,,,,"5: Do,6: you,7: want","1: It,2: should,3: be",,"5: Do,6: you",,,"5: Do,6: you,7: want",,,,,"5: Do,6: you,7: want,8: to,9: nominate,10: it,11: or,12: should","5: Do,6: you,7: want,8: to,9: nominate,10: it,11: or,12: should,13: I?",,"12: should,13: I?",,,,,,,9: nominate,"5: Do,6: you,7: want,8: to",,,,,,"1: It,2: should,3: be,4: deleted.,5: Do,6: you,7: want,12: should,13: I?"
Wikipedia,121,721,624684,Another thing: <url> has created <url>. What do you think about it?,Rating,,,6,,,,0,,,,,,,0,,,,0,,,2,0,,0,,,0,0,,,,4,,,-2,,,4,,,,,0,,3,,,,-3,,0
Wikipedia,121,721,624684,Another thing: <url> has created <url>. What do you think about it?,Highlight,,,"7: What,8: do,9: you,10: think,11: about,12: it?",,,,"1: Another,2: thing:,7: What,8: do,9: you,10: think,11: about,12: it?",,,,,,,"7: What,8: do,9: you,10: think,11: about,12: it?",,,,"7: What,10: think",,,"7: What,8: do,9: you,10: think,11: about,12: it?","1: Another,2: thing:",,"1: Another,2: thing:,7: What,8: do,9: you,10: think",,,"7: What,8: do,9: you,10: think,11: about,12: it?","7: What,8: do,9: you,10: think",,,,"7: What,8: do,9: you,10: think,11: about,12: it?",,,1: Another,,,"7: What,8: do,9: you,10: think,11: about,12: it?",,,,,"1: Another,2: thing:",,"7: What,8: do,9: you,10: think,11: about,12: it?",,,,"7: What,8: do,9: you",,"1: Another,2: thing:,7: What,8: do,9: you,10: think"
Wikipedia,122,722,1230,"Last month <url> was not promoted to Featured Article because, apparently, not enough people had taken the time to read and comment. If I nominate it again, will you read it (it's lengthy) and comment?",Rating,,,0,,,,-1,,,,,,,1,,,,-2,,,-1,2,,-1,,,-2,-2,,,,0,,,2,,,3,,,,,-5,,0,,,,0,,-6
Wikipedia,122,722,1230,"Last month <url> was not promoted to Featured Article because, apparently, not enough people had taken the time to read and comment. If I nominate it again, will you read it (it's lengthy) and comment?",Highlight,,,"11: apparently,",,,,"11: apparently,,12: not,13: enough,14: people,15: had,16: taken,17: the,18: time,28: will,29: you,30: read,31: it,34: and,35: comment?",,,,,,,"23: If,24: I,25: nominate,26: it,27: again,,28: will,29: you,30: read,31: it,32: (it's,33: lengthy),34: and,35: comment?",,,,"12: not,13: enough,25: nominate",,,"10: because,,11: apparently,,12: not,13: enough,14: people,15: had,16: taken","23: If,24: I,25: nominate,26: it,27: again,,28: will,29: you,30: read,31: it,32: (it's,33: lengthy),34: and,35: comment?",,"11: apparently,,28: will,29: you,30: read,32: (it's,33: lengthy)",,,"23: If,24: I,25: nominate,26: it,27: again,,28: will,29: you,30: read","23: If,24: I,28: will,29: you",,,,"11: apparently,",,,"11: apparently,,28: will,29: you,30: read,31: it,32: (it's,33: lengthy)",,,"28: will,29: you,30: read,31: it,32: (it's,33: lengthy),34: and,35: comment?",,,,,"11: apparently,",,"28: will,29: you,30: read,31: it,34: and,35: comment?",,,,"28: will,29: you",,"11: apparently,,28: will,29: you,30: read,31: it"
Wikipedia,123,723,451163,You <url> that you were working on an overhaul of the archiving system. Do you have any plans to start working on this again?,Rating,,,-3,,,,1,,,,,,,0,,,,0,,,0,-3,,-1,,,0,-2,,,,0,,,2,,,2,,,,,,,1,,,,-2,,0
Wikipedia,123,723,451163,You <url> that you were working on an overhaul of the archiving system. Do you have any plans to start working on this again?,Highlight,,,"14: Do,15: you,16: have,17: any,18: plans,19: to,20: start,21: working,22: on,23: this,24: again?",,,,"14: Do,15: you,16: have,17: any,18: plans",,,,,,,"14: Do,15: you,16: have,17: any,18: plans,19: to,20: start,21: working,22: on,23: this,24: again?",,,,17: any,,,"9: overhaul,21: working,22: on,23: this,24: again?","1: You,4: you,24: again?",,"1: You,2: <url>,3: that",,,"14: Do,15: you","14: Do,15: you,24: again?",,,,"14: Do,15: you,16: have,17: any,18: plans",,,"14: Do,15: you,16: have,17: any,18: plans",,,"17: any,18: plans",,,,,2: <url>,,"14: Do,15: you,16: have,17: any,18: plans,19: to",,,,"14: Do,15: you",,"14: Do,15: you,16: have,17: any,18: plans"
Wikipedia,124,724,618765,"Lunch sounds great, Rocket. Do you have an e-mail address I can use to get in touch with you?",Rating,,,9,,,,3,,,,,,,3,,,,5,,,4,12,,4,,,3,-1,,,,4,,,8,,,5,,,,,3,,3,,,,-2,,3
Wikipedia,124,724,618765,"Lunch sounds great, Rocket. Do you have an e-mail address I can use to get in touch with you?",Highlight,,,"3: great,",,,,"1: Lunch,2: sounds,3: great,,5: Do,6: you,7: have,14: to,15: get,16: in,17: touch,18: with,19: you?",,,,,,,"1: Lunch,2: sounds,3: great,,4: Rocket.",,,,"3: great,",,,"1: Lunch,2: sounds,3: great,","1: Lunch,2: sounds,3: great,,4: Rocket.",,"1: Lunch,2: sounds,3: great,,4: Rocket.",,,"1: Lunch,2: sounds,3: great,,4: Rocket.","2: sounds,3: great,,5: Do,6: you,7: have",,,,"1: Lunch,2: sounds,3: great,",,,"3: great,,4: Rocket.",,,"2: sounds,3: great,,12: can",,,,,"2: sounds,3: great,",,"2: sounds,3: great,,5: Do,6: you,7: have",,,,"2: sounds,3: great,,5: Do,6: you",,"1: Lunch,2: sounds,3: great,,5: Do,6: you,7: have,8: an,9: e-mail,10: address,11: I,12: can,13: use,14: to,15: get,16: in,17: touch,18: with,19: you?"
Wikipedia,125,725,245897,Thanks for the revert on <url>. Kinda curious how this blanking is always done by IPs that trace back to USAF installations isn't it?,Rating,,,-4,,,,1,,,,,,,2,,,,5,,,1,-1,,0,,,0,3,,,,3,,,0,,,5,,,,,-3,,3,,,,2,,4
Wikipedia,125,725,245897,Thanks for the revert on <url>. Kinda curious how this blanking is always done by IPs that trace back to USAF installations isn't it?,Highlight,,,"4: revert,7: Kinda,8: curious",,,,"1: Thanks,7: Kinda,8: curious,23: isn't,24: it?",,,,,,,"1: Thanks,7: Kinda,8: curious",,,,1: Thanks,,,"1: Thanks,2: for,3: the,4: revert,7: Kinda,8: curious","7: Kinda,8: curious,9: how,23: isn't,24: it?",,"1: Thanks,2: for,23: isn't,24: it?",,,"7: Kinda,8: curious,9: how,23: isn't,24: it?","1: Thanks,2: for,7: Kinda,23: isn't,24: it?",,,,1: Thanks,,,"1: Thanks,7: Kinda",,,"1: Thanks,2: for,7: Kinda,8: curious",,,,,7: Kinda,,"1: Thanks,2: for,7: Kinda,8: curious",,,,"1: Thanks,2: for",,"1: Thanks,7: Kinda,8: curious,9: how,10: this,23: isn't,24: it?"
Wikipedia,126,726,502806,What was your aim with <url>? have you abandoned it?,Rating,,,-6,,,,-1,,,,,,,-3,,,,1,,,-3,-3,,-1,,,-6,-3,,,,-2,,,-5,,,-4,,,,,0,,-3,,,,-3,,0
Wikipedia,126,726,502806,What was your aim with <url>? have you abandoned it?,Highlight,,,"3: your,4: aim,5: with,6: <url>?,9: abandoned",,,,"1: What,2: was,3: your,4: aim,7: have,8: you,9: abandoned,10: it?",,,,,,,"7: have,8: you,9: abandoned,10: it?",,,,4: aim,,,"1: What,2: was,3: your,4: aim,7: have,8: you,9: abandoned,10: it?","3: your,4: aim,7: have,8: you,9: abandoned,10: it?",,"1: What,2: was,3: your,4: aim,7: have,8: you,9: abandoned,10: it?",,,"1: What,2: was,3: your,4: aim,7: have,8: you,9: abandoned,10: it?","1: What,2: was,7: have,8: you",,,,9: abandoned,,,"4: aim,9: abandoned",,,"4: aim,9: abandoned",,,,,"3: your,4: aim",,"1: What,2: was,3: your,4: aim",,,,"7: have,8: you",,"1: What,2: was,3: your,4: aim"
Wikipedia,127,727,625941,"I'm not seeing a problem, a few minor formatting issues. What specifically did you think was weird?",Rating,,,-2,,,,0,,,,,,,0,,,,-2,,,0,-2,,-2,,,-3,-5,,,,-1,,,-7,,,1,,,,,-2,,3,,,,-2,,0
Wikipedia,127,727,625941,"I'm not seeing a problem, a few minor formatting issues. What specifically did you think was weird?",Highlight,,,"6: a,7: few,8: minor,17: weird?",,,,"1: I'm,2: not,3: seeing,4: a,5: problem,,11: What,12: specifically,13: did,14: you,15: think,16: was,17: weird?",,,,,,,"1: I'm,2: not,3: seeing,4: a,5: problem,,6: a,7: few,8: minor,9: formatting,10: issues.",,,,"2: not,8: minor,17: weird?",,,"11: What,12: specifically","1: I'm,2: not,3: seeing,4: a,5: problem,,14: you,15: think",,"1: I'm,2: not,8: minor,12: specifically,14: you,15: think",,,"1: I'm,2: not,3: seeing,4: a,5: problem,",12: specifically,,,,"3: seeing,4: a,5: problem,,6: a,7: few,8: minor,9: formatting,10: issues.",,,"2: not,3: seeing,4: a,5: problem,,8: minor,12: specifically,17: weird?",,,"2: not,3: seeing,6: a,7: few",,,,,"11: What,12: specifically",,"11: What,12: specifically,13: did,14: you,15: think,16: was,17: weird?",,,,"13: did,14: you,15: think",,"1: I'm,2: not,3: seeing,4: a,5: problem,,11: What,12: specifically,13: did,14: you,15: think,16: was,17: weird?"
Wikipedia,128,728,406045,"Well, you leaved me also curious. Why was it not appropriate?",Rating,,,-5,,,,-1,,,,,,,-7,,,,-1,,,-3,-4,,0,,,4,3,,,,-4,,,-8,,,-4,,,,,-8,,0,,,,-5,,-5
Wikipedia,128,728,406045,"Well, you leaved me also curious. Why was it not appropriate?",Highlight,,,"3: leaved,4: me,7: Why,8: was,9: it,10: not,11: appropriate?",,,,"1: Well,,7: Why,8: was,9: it,10: not",,,,,,,"1: Well,,2: you,3: leaved,4: me,5: also,6: curious.",,,,"3: leaved,11: appropriate?",,,"1: Well,,2: you,3: leaved,4: me,7: Why,8: was,9: it,10: not","1: Well,,7: Why",,"6: curious.,7: Why,8: was,9: it,10: not",,,"1: Well,,2: you,3: leaved,4: me,5: also,6: curious.","1: Well,,3: leaved,4: me,5: also,6: curious.,7: Why,8: was",,,,"1: Well,,2: you,3: leaved,4: me,5: also,6: curious.",,,"1: Well,,5: also,7: Why,10: not,11: appropriate?",,,"10: not,11: appropriate?",,,,,"2: you,3: leaved,4: me,5: also,6: curious.",,5: also,,,,"1: Well,,2: you,3: leaved,7: Why,8: was,9: it,10: not,11: appropriate?",,"1: Well,,7: Why,8: was,9: it,10: not,11: appropriate?"
Wikipedia,129,729,630774,"You seem to have plenty of time to discuss, why don't you try to educate <url> ? Maybe he needs this more than me ?",Rating,,,-6,,,,-3,,,,,,,-4,,,,-3,,,-6,-6,,-4,,,-10,-10,,,,4,,,-8,,,-2,,,,,-12,,-6,,,,6,,-12
Wikipedia,129,729,630774,"You seem to have plenty of time to discuss, why don't you try to educate <url> ? Maybe he needs this more than me ?",Highlight,,,"1: You,2: seem,3: to,4: have,5: plenty,6: of,7: time,8: to,9: discuss,,10: why,11: don't,12: you,13: try,14: to,15: educate,16: <url>,18: Maybe,19: he,20: needs,21: this,22: more,23: than,24: me",,,,"1: You,2: seem,3: to,4: have,5: plenty,6: of,7: time,8: to,9: discuss,,10: why,11: don't,12: you,15: educate,18: Maybe,19: he,20: needs,21: this,22: more,23: than,24: me,25: ?",,,,,,,"1: You,2: seem,3: to,4: have,5: plenty,6: of,7: time,8: to,9: discuss,",,,,"2: seem,5: plenty,9: discuss,,11: don't",,,"1: You,2: seem,3: to,4: have,5: plenty,10: why,11: don't,12: you,13: try,14: to,15: educate,18: Maybe,19: he,20: needs,21: this,22: more,23: than,24: me","1: You,2: seem,10: why,11: don't,12: you,13: try,14: to,15: educate,16: <url>,22: more,23: than,24: me",,"1: You,2: seem,3: to,4: have,5: plenty,6: of,7: time,8: to,9: discuss,,10: why,11: don't,12: you,18: Maybe,19: he,20: needs,21: this,22: more,23: than,24: me,25: ?",,,"10: why,11: don't,12: you,13: try,14: to,15: educate,16: <url>,17: ?,18: Maybe,19: he,20: needs,21: this,22: more,23: than,24: me,25: ?","10: why,11: don't,12: you,15: educate,18: Maybe,19: he,20: needs,21: this,22: more,23: than,24: me,25: ?",,,,"10: why,11: don't,12: you",,,"2: seem,3: to,4: have,5: plenty,6: of,7: time,8: to,9: discuss,,13: try,14: to",,,"2: seem,3: to",,,,,"10: why,11: don't,12: you",,"5: plenty,6: of,7: time,10: why,11: don't,12: you,13: try,14: to,15: educate,18: Maybe,19: he,20: needs,21: this,22: more,23: than,24: me",,,,"2: seem,10: why,11: don't,12: you,18: Maybe",,"1: You,2: seem,3: to,10: why,11: don't,12: you,18: Maybe,19: he,20: needs,21: this,22: more,23: than,24: me,25: ?"
Wikipedia,130,730,619425,"no problem. ic an hit it up through preferences seciton, right?",Rating,,,,,,,1,,,,,,,3,,,,3,,,0,1,,-1,,,-2,4,,,,1,,,2,,,3,,,,,-11,,1,,,,0,,-2
Wikipedia,130,730,619425,"no problem. ic an hit it up through preferences seciton, right?",Highlight,,,"3: ic,10: seciton,",,,,"1: no,2: problem.,11: right?",,,,,,,"1: no,2: problem.",,,,"1: no,2: problem.",,,"1: no,2: problem.,11: right?","1: no,2: problem.",,"3: ic,4: an,5: hit,6: it,7: up,11: right?",,,3: ic,"1: no,2: problem.,11: right?",,,,"1: no,2: problem.",,,"1: no,2: problem.",,,"1: no,2: problem.,11: right?",,,,,"3: ic,10: seciton,",,"1: no,2: problem.,11: right?",,,,11: right?,,"1: no,2: problem.,11: right?"
Wikipedia,131,731,203810,"My problem is that the Style Guide for cities causes several topics for this small village to be repeated somewhat, especially the railroad, Gas Boom, and stockyard. Any thoughts on this article's organization?",Rating,,,2,,-1,,,,1,,,,,,,,2,0,,,0,,,,,,,,,,0,,,,,11,,,0,,,,,6,,-1,,,,,0
Wikipedia,131,731,203810,"My problem is that the Style Guide for cities causes several topics for this small village to be repeated somewhat, especially the railroad, Gas Boom, and stockyard. Any thoughts on this article's organization?",Highlight,,,"28: Any,29: thoughts,30: on,31: this,32: article's,33: organization?",,"1: My,2: problem,3: is,4: that",,,,"2: problem,28: Any,29: thoughts",,,,,,,,"1: My,2: problem,3: is,28: Any,29: thoughts",2: problem,,,"1: My,2: problem,28: Any,29: thoughts",,,,,,,,,,"28: Any,29: thoughts",,,,,"1: My,2: problem,3: is,28: Any,29: thoughts,30: on",,,"28: Any,29: thoughts",,,,,"20: somewhat,,21: especially",,2: problem,,,,,"28: Any,29: thoughts"
Wikipedia,132,732,288788,Why revert? Shouldn't it be included somewhere in the discography?,Rating,,,-2,,-4,,,,2,,,,,,,,1,-2,,,-2,,,,,,,,,,-1,,,,,-2,,,-8,,,,,1,,-5,,,,,-10
Wikipedia,132,732,288788,Why revert? Shouldn't it be included somewhere in the discography?,Highlight,,,"1: Why,2: revert?,3: Shouldn't,4: it,5: be,6: included,7: somewhere,8: in,9: the,10: discography?",,"1: Why,2: revert?",,,,"2: revert?,10: discography?",,,,,,,,"1: Why,3: Shouldn't,4: it,5: be",2: revert?,,,"1: Why,2: revert?,3: Shouldn't",,,,,,,,,,"1: Why,2: revert?,3: Shouldn't,4: it,5: be,7: somewhere",,,,,"1: Why,3: Shouldn't,4: it,5: be",,,"1: Why,3: Shouldn't",,,,,"1: Why,3: Shouldn't",,"1: Why,2: revert?",,,,,"1: Why,2: revert?,3: Shouldn't,4: it,5: be"
Wikipedia,133,733,600446,I agree that '''Pack''' need some work. Is there an appropriate way to flag it for some attention?,Rating,,,0,,1,,,,5,,,,,,,,3,0,,,4,,,,,,,,,,3,,,,,11,,,0,,,,,5,,5,,,,,0
Wikipedia,133,733,600446,I agree that '''Pack''' need some work. Is there an appropriate way to flag it for some attention?,Highlight,,,"8: Is,9: there,10: an,11: appropriate,12: way,13: to,14: flag,15: it,16: for,17: some,18: attention?",,"1: I,2: agree,8: Is,9: there,10: an,11: appropriate",,,,11: appropriate,,,,,,,,"1: I,2: agree,8: Is,9: there,10: an,11: appropriate,12: way",6: some,,,"1: I,2: agree,3: that,8: Is,9: there,10: an,11: appropriate",,,,,,,,,,"2: agree,8: Is,9: there,10: an,11: appropriate,12: way",,,,,"2: agree,11: appropriate",,,"2: agree,3: that,11: appropriate",,,,,"2: agree,8: Is,9: there",,"2: agree,11: appropriate",,,,,"1: I,2: agree,3: that,8: Is,9: there"
Wikipedia,134,734,83698,I would load them into commons. How do I do that?,Rating,,,0,,2,,,,5,,,,,,,,2,0,,,1,,,,,,,,,,0,,,,,11,,,-2,,,,,1,,1,,,,,0
Wikipedia,134,734,83698,I would load them into commons. How do I do that?,Highlight,,,"7: How,8: do,9: I,10: do,11: that?",,"1: I,2: would,7: How,8: do,9: I,10: do,11: that?",,,,7: How,,,,,,,,"1: I,2: would,7: How,8: do,9: I,10: do,11: that?",8: do,,,2: would,,,,,,,,,,"2: would,7: How,8: do,9: I,10: do,11: that?",,,,,"7: How,8: do,9: I,10: do,11: that?",,,"7: How,8: do,9: I",,,,,"7: How,8: do",,"7: How,8: do,9: I,10: do,11: that?",,,,,"1: I,2: would,7: How,8: do,9: I,10: do,11: that?"
Wikipedia,135,735,143271,"Now that I thought we had this figured out as clean and simple, but Google has expanded their street view to the south end of Smith-Dorrien Trail which shows a sign naming it Trail<url> rather than Spray Lakes Road. What do we do if there is a contradiction between a reliable map (the Canmore map) and actual signage?",Rating,,,4,,1,,,,3,,,,,,,,0,0,,,2,,,,,,,,,,0,,,,,11,,,4,,,,,4,,4,,,,,-1
Wikipedia,135,735,143271,"Now that I thought we had this figured out as clean and simple, but Google has expanded their street view to the south end of Smith-Dorrien Trail which shows a sign naming it Trail<url> rather than Spray Lakes Road. What do we do if there is a contradiction between a reliable map (the Canmore map) and actual signage?",Highlight,,,"2: that,3: I,4: thought,5: we,6: had,7: this,8: figured,9: out,10: as,11: clean,12: and,13: simple,,14: but,15: Google,16: has,17: expanded,18: their,19: street,20: view,21: to,22: the,23: south,24: end,25: of,26: Smith-Dorrien,27: Trail,28: which,29: shows,30: a,31: sign,32: naming,33: it,34: Trail<url>,35: rather,36: than",,"4: thought,5: we,6: had,7: this,8: figured,40: What,41: do,42: we,43: do,44: if",,,,"40: What,41: do,42: we,43: do",,,,,,,,"40: What,41: do,42: we,43: do",51: reliable,,,"40: What,41: do,42: we,43: do",,,,,,,,,,"40: What,41: do,42: we,43: do",,,,,"40: What,41: do,42: we,43: do",,,"4: thought,8: figured,9: out,48: contradiction,51: reliable",,,,,"40: What,41: do,42: we,43: do,48: contradiction",,"1: Now,2: that,3: I,4: thought",,,,,"3: I,4: thought,40: What,41: do,42: we,43: do"
Wikipedia,136,736,243756,"Was working, so no. You?",Rating,,,-3,,-2,,,,3,,,,,,,,0,0,,,-1,,,,,,,,,,,,,,,-1,,,-2,,,,,,,-7,,,,,-11
Wikipedia,136,736,243756,"Was working, so no. You?",Highlight,,,"3: so,4: no.",,"1: Was,2: working,,3: so,4: no.,5: You?",,,,5: You?,,,,,,,,"1: Was,5: You?",4: no.,,,"3: so,4: no.",,,,,,,,,,"1: Was,2: working,,3: so,4: no.,5: You?",,,,,"3: so,4: no.",,,"3: so,4: no.,5: You?",,,,,"3: so,4: no.",,"3: so,4: no.,5: You?",,,,,"3: so,4: no.,5: You?"
Wikipedia,137,737,627801,"Just saw your message on <url>. Shall I carry on the review, or shall I wait for a cue from your side when you're ready to carry on?",Rating,,,0,,3,,,,9,,,,,,,,3,1,,,2,,,,,,,,,,1,,,,,11,,,-2,,,,,5,,5,,,,,7
Wikipedia,137,737,627801,"Just saw your message on <url>. Shall I carry on the review, or shall I wait for a cue from your side when you're ready to carry on?",Highlight,,,"7: Shall,14: shall",,"1: Just,2: saw,3: your,4: message,7: Shall,8: I,9: carry,14: shall,15: I,16: wait,23: when,24: you're,25: ready",,,,"7: Shall,8: I,14: shall,15: I,19: cue,25: ready",,,,,,,,"7: Shall,8: I,9: carry,13: or,14: shall,15: I,16: wait,20: from,21: your,22: side,23: when,24: you're,25: ready","7: Shall,28: on?",,,"7: Shall,8: I,13: or,14: shall",,,,,,,,,,"7: Shall,8: I,23: when,24: you're,25: ready,26: to,27: carry,28: on?",,,,,"7: Shall,8: I",,,"7: Shall,8: I,16: wait,17: for",,,,,7: Shall,,"7: Shall,14: shall",,,,,"1: Just,2: saw,3: your,4: message,7: Shall,8: I,14: shall,15: I"
Wikipedia,138,738,243621,"Hi, I found two sources which state that <url> was still married and when she moved to Harlem with her Husband. Do you have any sources to the contrary?",Rating,,,-1,,2,,,,3,,,,,,,,4,1,,,2,,,,,,,,,,1,,,,,12,,,0,,,,,2,,4,,,,,0
